WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,ESR (Ωmax/100kHz) 20℃,ESR (Ωmax/100kHz) -40℃,Rated ripple current (mArms/100kHz) 125℃,Rated ripple current (mArms/100kHz) 135℃,Part No.
25,6200,18×30,0.24,0.023,0.19,5380,3330,EGVD250E□□622MM30H
25,8200,18×35.5,0.28,0.019,0.13,6110,3750,EGVD250E□□822MMP1H
35,3600,18×30,0.16,0.023,0.19,5380,3330,EGVD350E□□362MM30H
35,4700,18×35.5,0.18,0.019,0.13,6110,3750,EGVD350E□□472MMP1H
50,2000,18×30,0.12,0.029,0.26,5050,2910,EGVD500E□□202MM30H
50,2400,18×35.5,0.12,0.024,0.2,5760,3330,EGVD500E□□242MMP1H
63,1300,18×30,0.1,0.029,0.18,3930,3100,EGVD630E□□132MM30H
63,1800,18×35.5,0.1,0.024,0.14,4920,3520,EGVD630E□□182MMP1H
80,820,18×30,0.08,0.029,0.18,3930,3100,EGVD800E□□821MM30H
80,1200,18×35.5,0.08,0.024,0.14,4920,3520,EGVD800E□□122MMP1H
100,510,18×30,0.08,0.038,0.25,3800,2830,EGVD101E□□511MM30H
100,680,18×35.5,0.08,0.03,0.19,4550,3210,EGVD101E□□681MMP1H
