Case size (mm) (øD×L),Impedance (Ω) +20℃,Impedance (Ω) -10℃,Impedance (Ω) +105℃,Ripple current (mA rms)
5 × 11,0.3,1.0,--,280
6.3 × 11.2,0.13,0.43,--,455
8 × 11.5,0.056,0.168,--,950
8 × 15,0.041,0.123,--,1240
8 × 20,0.03,0.09,--,1560
10 × 12.5,0.043,0.114,--,1290
10 × 16,0.028,0.078,--,1790
10 × 20,0.02,0.057,--,2180
10 × 25,0.018,0.054,--,2470
12.5 × 20,0.018,0.045,--,2600
12.5 × 25,0.015,0.038,--,3190
12.5 × 30,0.013,0.033,--,3630
12.5 × 35,0.012,0.03,--,3750
16 × 20,0.017,0.043,--,3300
16 × 25,0.014,0.035,--,3820
