Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,33,2.411,,5,11,-55,105,0.24,9.646,1000,6,6000,UEP0J330MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,92,46,72.22,62.1,34.5,EOL,207.9,Normal,0.44
6.3,47,1.693,,5,11,-55,105,0.24,6.773,1000,9,6000,UEP0J470MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,108,54,84.78,72.9,40.5,EOL,296.09999999999997,Normal,0.44
6.3,100,1.415,,6.3,11,-55,105,0.24,3.183,1000,19,4000,UEP0J101MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,135,90,120.6,110.7,72,EOL,630,Normal,0.59
6.3,220,0.643,,8,11.5,-55,105,0.24,1.447,1000,42,3000,UEP0J221MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,225,150,201,184.5,120,MP,1386,Normal,1.19
6.3,330,0.429,,8,11.5,-55,105,0.24,0.965,1000,62,3000,UEP0J331MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,277.5,185,247.9,227.55,148,MP,2079,Normal,1.19
6.3,470,0.301,,10,12.5,-55,105,0.24,0.677,1000,89,2000,UEP0J471MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,390,260,348.4,319.8,208,MP,2961,Normal,1.49
6.3,1000,0.261,,10,20,-55,105,0.24,0.345,1000,189,1400,UEP0J102MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,529,460,519.8,506,391,MP,6300,Normal,2.34
6.3,2200,0.137,,12.5,25,-55,105,0.26,0.181,1000,416,800,UEP0J222MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,943,820,926.6,902,697,MP,13860,Normal,4.56
6.3,3300,0.103,,16,25,-55,105,0.28,0.137,1000,624,400,UEP0J332MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,1276.5,1110,1254.3,1221,943.5,MP,20790,Normal,8.2
6.3,4700,0.081,,16,30.5,-55,105,0.3,0.107,1000,888,300,UEP0J472MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,1644.5,1430,1615.9,1573,1215.5,MP,29610,Normal,9.6
6.3,6800,0.068,,18,35.5,-55,105,0.34,0.09,1000,1285,250,UEP0J682MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,2104.5,1830,2067.9,2013,1555.5,MP,42840,Normal,14.2
10,22,3.617,,5,11,-55,105,0.24,14.469,1000,7,6000,UEP1A220MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,84,42,65.94,56.7,31.5,EOL,220,Normal,0.44
10,33,2.411,,5,11,-55,105,0.24,9.646,1000,10,6000,UEP1A330MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,90,45,70.65,60.75,33.75,EOL,330,Normal,0.44
10,47,1.693,,5,11,-55,105,0.24,6.773,1000,14,6000,UEP1A470MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,108,54,84.78,72.9,40.5,EOL,470,Normal,0.44
10,100,1.415,,6.3,11,-55,105,0.24,3.183,1000,30,4000,UEP1A101MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,135,90,120.6,110.7,72,EOL,1000,Normal,0.59
10,220,0.643,,8,11.5,-55,105,0.24,1.447,1000,66,3000,UEP1A221MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,225,150,201,184.5,120,MP,2200,Normal,1.19
10,330,0.429,,10,16,-55,105,0.24,0.965,1000,99,1800,UEP1A331MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,360,240,321.6,295.2,192,MP,3300,Normal,1.77
10,470,0.301,,10,16,-55,105,0.24,0.677,1000,141,1800,UEP1A471MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,435,290,388.6,356.7,232,MP,4700,Normal,1.77
10,1000,0.261,,12.5,20,-55,105,0.24,0.345,1000,300,1000,UEP1A102MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,586.5,510,576.3,561,433.5,MP,10000,Normal,3.43
10,2200,0.137,,16,25,-55,105,0.26,0.181,1000,660,400,UEP1A222MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,1046.5,910,1028.3,1001,773.5,MP,22000,Normal,8.2
10,3300,0.103,,16,30.5,-55,105,0.28,0.137,1000,990,300,UEP1A332MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,1380,1200,1356,1320,1020,MP,33000,Normal,9.6
10,4700,0.081,,18,35.5,-55,105,0.3,0.107,1000,1410,250,UEP1A472MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,1748,1520,1717.6,1672,1292,MP,47000,Normal,14.2
16,10,6.631,,5,11,-55,105,0.2,26.526,1000,5,6000,UEP1C100MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,60,30,47.1,40.5,22.5,EOL,160,Normal,0.44
