Voltage,Capacitance,Case Size Diameter,Case Size Length,Dissipation Factor,ESR 25°C@100kHz,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@100kHz,Surge Voltage,Z 20°C@100kHz
6.3,100,5,11,22,1.5,291.784,8,ESX107M6R3AC3(1),166,8,1.5
6.3,100,8,11,22,0.61,291.784,8,ESX107M6R3AG3(1),180,8,0.61
6.3,120,5,11,22,1.3,243.154,9.6,ESX127M6R3AC3(1),175,8,1.3
6.3,120,8,11,22,0.61,243.154,9.6,ESX127M6R3AG3(1),200,8,0.61
6.3,150,6.3,11,22,0.92,194.523,12,ESX157M6R3AE3(1),225,8,0.92
6.3,220,8,11,22,0.61,132.629,17.6,ESX227M6R3AG3(1),285,8,0.61
6.3,330,8,11,22,0.4,88.419,26.4,ESX337M6R3AG3(1),410,8,0.4
6.3,470,10,12,22,0.28,62.082,37.6,ESX477M6R3AH1(1),550,8,0.28
6.3,680,10,15,22,0.22,42.909,54.4,ESX687M6R3AH2(1),735,8,0.22
6.3,820,10,15,22,0.19,35.583,65.6,ESX827M6R3AH2(1),795,8,0.19
6.3,1000,10,20,22,0.17,29.205,80,ESX108M6R3AH4(1),950,8,0.17
6.3,1200,10,20,22,0.14,24.337,96,ESX128M6R3AH4(1),1020,8,0.14
6.3,1500,10,20,22,0.14,19.47,120,ESX158M6R3AH4(1),1000,8,0.14
6.3,1500,10,25,22,0.12,19.47,120,ESX158M6R3AH5(1),1200,8,0.12
6.3,2200,10,30,22,0.095,13.287,176,ESX228M6R3AH6(1),1450,8,0.095
6.3,3300,12,35,22,0.081,8.866,264,ESX338M6R3AJP(1),1700,8,0.081
6.3,4700,12,35,22,0.063,6.231,376,ESX478M6R3AJP(1),2110,8,0.063
6.3,6800,16,32,22,0.055,4.314,544,ESX688M6R3AM2(1),2350,8,0.055
6.3,8200,16,36,22,0.047,3.584,656,ESX828M6R3AM3(1),2550,8,0.047
6.3,10000,16,40,22,0.039,2.944,800,ESX109M6R3AM4(1),2750,8,0.039
6.3,15000,18,40,22,0.037,1.972,1200,ESX159M6R3AN3(1),2950,8,0.037
10,10,5,11,19,5.9,2519.955,3,ESX106M010AC3(1),20,13,5.9
10,22,5,11,19,5.4,1145.434,3,ESX226M010AC3(1),44,13,5.4
10,33,5,11,19,3.3,763.623,4.3,ESX336M010AC3(1),66,13,3.3
10,47,5,11,19,2.2,536.161,6.1,ESX476M010AC3(1),94,13,2.2
10,68,5,11,19,1.3,370.582,8.8,ESX686M010AC3(1),136,13,1.3
10,100,5,11,19,1.15,251.996,13,ESX107M010AC3(1),170,13,1.15
10,100,6.3,11,19,1.15,251.996,13,ESX107M010AE3(1),200,13,1.15
10,100,8,7,19,1,251.996,13,ESX107M010AG1(1),195,13,1
10,120,6.3,11,19,0.91,209.996,15.6,ESX127M010AE3(1),240,13,0.91
10,150,6.3,11,19,0.7,167.997,19.5,ESX157M010AE3(1),265,13,0.7
10,180,6.3,11,19,0.65,139.998,23.4,ESX187M010AE3(1),275,13,0.65
10,220,6.3,11,19,0.59,114.543,28.6,ESX227M010AE3(1),290,13,0.59
10,220,8,11,19,0.48,114.543,28.6,ESX227M010AG3(1),370,13,0.48
10,330,8,11,19,0.33,76.362,42.9,ESX337M010AG3(1),470,13,0.33
10,470,10,12,19,0.24,53.616,61.1,ESX477M010AH1(1),590,13,0.24
10,470,8,11,19,0.3,53.616,61.1,ESX477M010AG3(1),480,13,0.3
10,680,10,15,19,0.17,37.058,88.4,ESX687M010AH2(1),750,13,0.17
10,680,8,20,19,0.18,37.058,88.4,ESX687M010AG6(1),790,13,0.18
10,820,10,20,19,0.14,30.731,106.6,ESX827M010AH4(1),990,13,0.14
10,1000,10,15,19,0.135,25.226,130,ESX108M010AH2(1),900,13,0.135
10,1000,10,20,19,0.12,25.226,130,ESX108M010AH4(1),1060,13,0.12
10,1200,10,25,19,0.12,21.022,156,ESX128M010AH5(1),1290,13,0.12
10,1500,10,30,19,0.093,16.817,195,ESX158M010AH6(1),1450,13,0.093
10,2200,12,30,19,0.087,11.478,286,ESX228M010AJM(1),1570,13,0.087
10,2200,13,20,19,0.073,11.478,286,ESX228M010AL3(1),1900,13,0.073
10,3300,10,30,19,0.077,7.66,429,ESX338M010AH6(1),1690,13,0.077
10,3300,12,35,19,0.062,7.66,429,ESX338M010AJP(1),2110,13,0.062
10,4700,13,40,19,0.057,5.384,611,ESX478M010AL7(1),2300,13,0.057
10,4700,16,32,19,0.054,5.384,611,ESX478M010AM2(1),2450,13,0.054
10,6800,16,36,19,0.046,3.729,884,ESX688M010AM3(1),2680,13,0.046
10,8200,16,40,19,0.038,3.099,1066,ESX828M010AM4(1),2850,13,0.038
10,10000,16,40,19,0.037,2.546,1300,ESX109M010AM4(1),3050,13,0.037
16,10,5,11,16,1.18,2122.068,3,ESX106M016AC3(1),42,20,1.18
16,22,5,11,16,3.3,964.576,4.4,ESX226M016AC3(1),53,20,3.3
16,33,5,11,16,2.1,643.051,6.6,ESX336M016AC3(1),79,20,2.1
16,47,5,11,16,1.3,451.504,9.4,ESX476M016AC3(1),113,20,1.3
16,68,5,11,16,0.92,312.069,13.6,ESX686M016AC3(1),145,20,0.92
16,68,6.3,11,16,0.92,312.069,13.6,ESX686M016AE3(1),163,20,0.92
16,100,6.3,11,16,1.1,212.207,20,ESX107M016AE3(1),190,20,1.1
16,100,8,11,16,0.89,212.207,20,ESX107M016AG3(1),241,20,0.89
16,120,8,11,16,0.58,176.839,24,ESX127M016AG3(1),290,20,0.58
16,150,8,11,16,0.47,141.471,30,ESX157M016AG3(1),380,20,0.47
16,220,8,11,16,0.33,96.458,44,ESX227M016AG3(1),410,20,0.33
16,330,10,12,16,0.23,64.305,66,ESX337M016AH1(1),600,20,0.23
16,470,10,15,16,0.18,45.15,94,ESX477M016AH2(1),750,20,0.18
16,470,8,20,16,0.18,45.15,94,ESX477M016AG6(1),710,20,0.18
16,560,10,15,16,0.16,37.894,112,ESX567M016AH2(1),890,20,0.16
16,680,10,20,16,0.14,31.207,136,ESX687M016AH4(1),1050,20,0.14
16,820,10,25,16,0.12,25.879,164,ESX827M016AH5(1),1220,20,0.12
