Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
10,100,3.227,2.919,5,11,0.45,5.968,130,123.64,90.91,110,1000
10,220,1.467,1.327,6.3,11,0.45,2.713,210,199.72,146.85,177.69,2200
10,330,0.978,0.884,8,11.5,0.45,1.809,330,313.85,230.77,279.23,3300
16,47,5.34,4.83,5,11,0.35,9.877,130,123.64,90.91,110,752
16,100,2.51,2.27,6.3,11,0.35,4.642,210,199.72,146.85,177.69,1600
16,220,1.141,1.032,8,11.5,0.35,2.11,330,313.85,230.77,279.23,3520
25,33,4.483,3.64,5,11,0.3,12.057,130,117.14,71.43,97.14,825
25,47,4.577,4.14,5,11,0.3,8.466,130,123.64,90.91,110,1175
25,100,2.151,1.946,6.3,11,0.3,3.979,210,199.72,146.85,177.69,2500
35,33,3.287,2.669,5,11,0.22,8.842,130,117.14,71.43,97.14,1155
35,47,3.356,3.036,6.3,11,0.22,6.208,210,199.72,146.85,177.69,1645
35,100,1.578,1.427,8,11.5,0.22,2.918,330,313.85,230.77,279.23,3500
50,1,69.805,44.488,5,11,0.19,251.996,25,19.96,10.5,15.02,50
50,2.2,31.729,20.222,5,11,0.19,114.543,35,27.94,14.71,21.03,110.00000000000001
50,3.3,21.153,13.481,5,11,0.19,76.362,70,55.88,29.41,42.06,165
50,4.7,14.852,9.465,5,11,0.19,53.616,80,63.87,33.61,48.07,235
50,10,6.98,4.449,5,11,0.19,25.2,90,71.85,37.82,54.08,500
50,22,4.259,3.458,5,11,0.19,11.454,135,121.65,74.18,100.88,1100
50,33,2.839,2.305,6.3,11,0.19,7.636,190,171.21,104.4,141.98,1650
50,47,2.899,2.622,6.3,11,0.19,5.362,190,180.7,132.87,160.77,2350
50,100,1.362,1.232,8,11.5,0.19,2.52,270,256.78,188.81,228.46,5000
63,10,6.246,3.98,5,11,0.17,22.547,80,63.87,33.61,48.07,630
63,22,3.81,3.094,6.3,11,0.17,10.249,170,153.19,93.41,127.03,1386
63,33,2.54,2.063,6.3,11,0.17,6.832,170,153.19,93.41,127.03,2079
63,47,2.594,2.346,8,11.5,0.17,4.797,240,228.25,167.83,203.08,2961
100,1,55.109,35.122,5,11,0.15,198.944,40,31.93,16.81,24.03,100
100,2.2,25.05,15.964,5,11,0.15,90.429,50,39.92,21.01,30.04,220.00000000000003
100,3.3,16.7,10.643,5,11,0.15,60.286,60,47.9,25.21,36.05,330
100,4.7,11.725,7.473,5,11,0.15,42.328,70,55.88,29.41,42.06,470
100,10,5.511,3.512,6.3,11,0.15,19.894,150,119.75,63.03,90.13,1000
100,22,3.362,2.73,8,11.5,0.15,9.043,230,207.25,126.37,171.87,2200
