Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 135°C@100kHz,Status,V,VC,Vibration resistant,Weight (g)
10,220,0.2,0.26,8,11.5,-55,135,1.206,1000,66,3000,UBW1A221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,MP,10 to 100,2200,Normal,1.19
10,330,0.2,0.15,10,12.5,-55,135,0.804,2000,99,2000,UBW1A331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,MP,10 to 100,3300,Normal,1.49
10,470,0.2,0.1,10,12.5,-55,135,0.564,2000,141,2000,UBW1A471MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,MP,10 to 100,4700,Normal,1.49
10,1000,0.2,0.057,10,20,-55,135,0.292,2000,300,1400,UBW1A102MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1100,MP,10 to 100,10000,Normal,2.34
10,2200,0.22,0.033,12.5,25,-55,135,0.157,3000,660,800,UBW1A222MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1750,MP,10 to 100,22000,Normal,4.56
10,3300,0.24,0.024,16,25,-55,135,0.121,3000,990,400,UBW1A332MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2300,MP,10 to 100,33000,Normal,8.2
10,4700,0.26,0.02,16,30.5,-55,135,0.096,3000,1410,300,UBW1A472MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,MP,10 to 100,47000,Normal,9.6
16,100,0.16,0.32,8,11.5,-55,135,2.122,1000,48,3000,UBW1C101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,MP,10 to 100,1600,Normal,1.19
16,220,0.16,0.15,10,12.5,-55,135,0.965,2000,106,2000,UBW1C221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,MP,10 to 100,3520,Normal,1.49
16,330,0.16,0.1,10,12.5,-55,135,0.643,2000,158,2000,UBW1C331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,MP,10 to 100,5280,Normal,1.49
16,470,0.16,0.075,10,16,-55,135,0.452,2000,226,1800,UBW1C471MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,945,MP,10 to 100,7520,Normal,1.77
16,1000,0.16,0.042,12.5,20,-55,135,0.239,3000,480,1000,UBW1C102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1490,MP,10 to 100,16000,Normal,3.43
16,2200,0.18,0.024,16,25,-55,135,0.133,3000,1056,400,UBW1C222MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2300,MP,10 to 100,35200,Normal,8.2
16,3300,0.2,0.02,16,30.5,-55,135,0.104,3000,1584,300,UBW1C332MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,MP,10 to 100,52800,Normal,9.6
25,100,0.14,0.13,8,11.5,-55,135,1.857,1000,75,3000,UBW1E101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,500,MP,10 to 100,2500,Normal,1.19
25,220,0.14,0.1,10,12.5,-55,135,0.844,2000,165,2000,UBW1E221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,MP,10 to 100,5500,Normal,1.49
25,330,0.14,0.075,10,16,-55,135,0.563,2000,248,1800,UBW1E331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,945,MP,10 to 100,8250,Normal,1.77
25,470,0.14,0.057,10,20,-55,135,0.395,2000,353,1400,UBW1E471MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1100,MP,10 to 100,11750,Normal,2.34
25,1000,0.14,0.033,12.5,25,-55,135,0.212,3000,750,800,UBW1E102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1750,MP,10 to 100,25000,Normal,4.56
25,2200,0.16,0.02,16,30.5,-55,135,0.121,3000,1650,300,UBW1E222MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,MP,10 to 100,55000,Normal,9.6
35,100,0.12,0.15,10,12.5,-55,135,1.592,2000,105,2000,UBW1V101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,MP,10 to 100,3500,Normal,1.49
35,220,0.12,0.094,10,16,-55,135,0.723,2000,231,1800,UBW1V221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,790,MP,10 to 100,7700,Normal,1.77
