Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@120Hz,Surge Voltage
160,33,20,10,20,803.814,311.2,ESZ336M160AH4(1),250,200
160,47,20,10,20,564.38,400.8,ESZ476M160AH4(1),290,200
160,47,20,12.5,20,564.38,400.8,ESZ476M160AK5(1),330,200
160,68,20,13,25,390.086,535.2,ESZ686M160AL4(1),360,200
160,68,20,16,20,390.086,535.2,ESZ686M160AM5(1),380,200
160,100,20,13,25,265.258,740,ESZ107M160AL4(1),485,200
160,100,20,16,20,265.258,740,ESZ107M160AM5(1),560,200
160,100,20,16,25,265.258,740,ESZ107M160AM7(1),560,200
160,100,20,18,20,265.258,740,ESZ107M160AN4(1),560,200
160,150,20,16,25,176.839,1060,ESZ157M160AM7(1),600,200
160,150,20,16,32,176.839,1060,ESZ157M160AM2(1),650,200
160,150,20,18,25,176.839,1060,ESZ157M160AN5(1),650,200
160,220,20,16,32,120.572,1508,ESZ227M160AM2(1),650,200
160,220,20,18,25,120.572,1508,ESZ227M160AN5(1),650,200
160,330,20,18,36,80.381,2212,ESZ337M160AN2(1),690,200
200,22,20,10,20,1205.72,276,ESZ226M200AH4(1),220,250
200,33,20,10,20,803.814,364,ESZ336M200AH4(1),260,250
200,33,20,12.5,20,803.814,364,ESZ336M200AK5(1),290,250
200,47,20,13,20,564.38,476,ESZ476M200AL3(1),330,250
200,68,20,13,25,390.086,644,ESZ686M200AL4(1),360,250
200,68,20,16,20,390.086,644,ESZ686M200AM5(1),380,250
200,100,20,16,25,265.258,900,ESZ107M200AM7(1),560,250
200,150,20,16,32,176.839,1300,ESZ157M200AM2(1),640,250
400,6.8,24,10,20,4681.032,208.8,ESZ685M400AH4(1),75,450
400,10,24,10,20,3183.102,260,ESZ106M400AH4(1),90,450
400,22,24,16,20,1446.864,452,ESZ226M400AM5(1),150,450
400,33,24,16,25,964.576,628,ESZ336M400AM7(1),260,450
400,47,24,16,32,677.256,852,ESZ476M400AM2(1),350,450
400,68,24,18,32,468.103,1188,ESZ686M400AN1(1),435,450
450,3.3,24,10,16,9645.762,159.4,ESZ335M450AH8(1),50,500
450,4.7,24,10,20,6772.556,184.6,ESZ475M450AH4(1),70,500
450,6.8,24,10,20,4681.032,222.4,ESZ685M450AH4(1),75,500
450,6.8,24,12.5,20,4681.032,222.4,ESZ685M450AK5(1),90,500
450,10,24,12.5,20,3183.102,280,ESZ106M450AK5(1),155,500
450,22,24,16,25,1446.864,496,ESZ226M450AM7(1),280,500
450,22,24,18,20,1446.864,496,ESZ226M450AN4(1),275,500
450,33,24,16,32,964.576,694,ESZ336M450AM2(1),310,500
450,33,24,18,25,964.576,694,ESZ336M450AN5(1),295,500
450,47,24,16,36,677.256,946,ESZ476M450AM3(1),440,500
450,47,24,18,32,677.256,946,ESZ476M450AN1(1),440,500
