Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
4,560,0.006,8,8,-55,105,0.12,0.284,2000,560,3200,RL80G561MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
4,560,0.006,8,8,-55,105,0.12,0.284,5000,560,3200,RL80G561MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
4,560,0.006,8,8,-55,105,0.12,0.284,2000,560,3200,RL80G561MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
4,560,0.006,8,8,-55,105,0.12,0.284,5000,560,3200,RL80G561MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
4,820,0.006,8,8,-55,105,0.12,0.194,2000,820,3200,RL80G821MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
4,820,0.006,8,8,-55,105,0.12,0.194,5000,820,3200,RL80G821MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
4,820,0.006,8,8,-55,105,0.12,0.194,2000,820,3200,RL80G821MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
4,820,0.006,8,8,-55,105,0.12,0.194,5000,820,3200,RL80G821MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),6100,MP,Normal,0.71
6.3,470,0.008,8,8,-55,105,0.12,0.339,2000,592,3200,RL80J471MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,470,0.008,8,8,-55,105,0.12,0.339,5000,592,3200,RL80J471MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,470,0.008,8,8,-55,105,0.12,0.339,2000,592,3200,RL80J471MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,470,0.008,8,8,-55,105,0.12,0.339,5000,592,3200,RL80J471MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,560,0.008,8,8,-55,105,0.12,0.284,2000,706,3200,RL80J561MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,560,0.008,8,8,-55,105,0.12,0.284,5000,706,3200,RL80J561MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,560,0.008,8,8,-55,105,0.12,0.284,2000,706,3200,RL80J561MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,560,0.008,8,8,-55,105,0.12,0.284,5000,706,3200,RL80J561MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,680,0.008,8,8,-55,105,0.12,0.234,2000,856,3200,RL80J681MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,680,0.008,8,8,-55,105,0.12,0.234,5000,856,3200,RL80J681MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,680,0.008,8,8,-55,105,0.12,0.234,2000,856,3200,RL80J681MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,680,0.008,8,8,-55,105,0.12,0.234,5000,856,3200,RL80J681MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,820,0.008,8,8,-55,105,0.12,0.194,2000,1033,3200,RL80J821MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,820,0.008,8,8,-55,105,0.12,0.194,5000,1033,3200,RL80J821MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,820,0.008,8,8,-55,105,0.12,0.194,2000,1033,3200,RL80J821MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,820,0.008,8,8,-55,105,0.12,0.194,5000,1033,3200,RL80J821MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,1000,0.009,8,8,-55,105,0.12,0.186,2000,1260,3200,RL80J102MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,1000,0.009,8,8,-55,105,0.12,0.186,5000,1260,3200,RL80J102MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,1000,0.009,8,8,-55,105,0.12,0.186,2000,1260,3200,RL80J102MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
6.3,1000,0.009,8,8,-55,105,0.12,0.186,5000,1260,3200,RL80J102MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5700,MP,Normal,0.71
16,100,0.012,8,8,-55,105,0.12,1.592,2000,320,3200,RL81C101MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,100,0.012,8,8,-55,105,0.12,1.592,5000,320,3200,RL81C101MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,100,0.012,8,8,-55,105,0.12,1.592,2000,320,3200,RL81C101MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,100,0.012,8,8,-55,105,0.12,1.592,5000,320,3200,RL81C101MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,180,0.012,8,8,-55,105,0.12,0.884,2000,576,3200,RL81C181MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,180,0.012,8,8,-55,105,0.12,0.884,5000,576,3200,RL81C181MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,180,0.012,8,8,-55,105,0.12,0.884,2000,576,3200,RL81C181MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,180,0.012,8,8,-55,105,0.12,0.884,5000,576,3200,RL81C181MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,220,0.012,8,8,-55,105,0.12,0.723,2000,704,3200,RL81C221MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,220,0.012,8,8,-55,105,0.12,0.723,5000,704,3200,RL81C221MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,220,0.012,8,8,-55,105,0.12,0.723,2000,704,3200,RL81C221MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,220,0.012,8,8,-55,105,0.12,0.723,5000,704,3200,RL81C221MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,270,0.01,8,8,-55,105,0.12,0.589,2000,864,3200,RL81C271MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,270,0.01,8,8,-55,105,0.12,0.589,5000,864,3200,RL81C271MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,270,0.01,8,8,-55,105,0.12,0.589,2000,864,3200,RL81C271MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,270,0.01,8,8,-55,105,0.12,0.589,5000,864,3200,RL81C271MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,330,0.012,8,8,-55,105,0.12,0.482,2000,1056,3200,RL81C331MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,330,0.012,8,8,-55,105,0.12,0.482,5000,1056,3200,RL81C331MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,330,0.012,8,8,-55,105,0.12,0.482,2000,1056,3200,RL81C331MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,330,0.012,8,8,-55,105,0.12,0.482,5000,1056,3200,RL81C331MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),5000,MP,Normal,0.71
16,470,0.016,8,8,-55,105,0.12,0.339,2000,1504,3200,RL81C471MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),4000,MP,Normal,0.71
16,470,0.016,8,8,-55,105,0.12,0.339,2000,1504,3200,RL81C471MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),4000,MP,Normal,0.71
16,470,0.016,8,8,-55,105,0.12,0.339,5000,1504,3200,RL81C471MDNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),4000,MP,Normal,0.71
16,470,0.016,8,8,-55,105,0.12,0.339,5000,1504,3200,RL81C471MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),4000,MP,Normal,0.71
20,330,0.017,8,8,-55,105,0.12,0.482,5000,1320,3200,RL81D331MCNASQ,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),3880,MP,Normal,0.71
35,100,0.025,8,8,-55,105,0.12,1.592,2000,700,3200,RL81V101MCN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),3000,MP,Normal,0.71
35,100,0.025,8,8,-55,105,0.12,1.592,2000,700,3200,RL81V101MDN1,Uni-Polar,Radial Lead,Lo-ESR and Lo-Profile (φ8),3000,MP,Normal,0.71
