Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance,Leakage Current,Part Number,Ripple Current,Surge Voltage
10,2700,9.333,13,25,19,0.02,270.0,ESY278M010AL4(1),2510,13
10,3300,7.636,13,25,19,0.018,330.0,ESY338M010AL4(1),2770,13
10,3900,6.461,13,30,19,0.016,390.0,ESY398M010AL8(1),3290,13
10,3900,6.461,16,20,19,0.018,390.0,ESY398M010AM5(1),3140,13
10,4700,5.362,13,35,19,0.015,470.0,ESY478M010AL6(1),3400,13
10,5600,4.5,16,25,19,0.016,560.0,ESY568M010AM7(1),3460,13
16,18,1178.927,4,7,16,0.92,3.0,ESY186M016AB2(1),130,20
16,27,785.951,5,7,16,0.61,4.3,ESY276M016AC2(1),190,20
16,33,643.051,5,7,16,0.45,5.3,ESY336M016AC2(1),210,20
16,39,544.12,5,11,16,0.43,6.2,ESY396M016AC3(1),220,20
16,47,451.504,5,11,16,0.36,7.5,ESY476M016AC3(1),230,20
16,56,378.941,5,11,16,0.3,9.0,ESY566M016AC3(1),250,20
16,68,312.069,6.3,7,16,0.24,10.9,ESY686M016AE2(1),300,20
16,100,212.207,6.3,11,16,0.16,16.0,ESY107M016AE3(1),370,20
16,100,212.207,8,7,16,0.18,16.0,ESY107M016AG1(1),350,20
16,120,176.839,6.3,11,16,0.13,19.2,ESY127M016AE3(1),410,20
16,120,176.839,8,7,16,0.15,19.2,ESY127M016AG1(1),380,20
16,150,141.471,8,11,16,0.12,24.0,ESY157M016AG3(1),510,20
16,180,117.893,8,11,16,0.11,28.8,ESY187M016AG3(1),560,20
16,220,96.458,8,11,16,0.1,35.2,ESY227M016AG3(1),620,20
16,270,78.595,8,11,16,0.088,43.2,ESY277M016AG3(1),690,20
16,330,64.305,8,11,16,0.072,52.8,ESY337M016AG3(1),760,20
16,470,45.15,8,16,16,0.056,75.2,ESY477M016AG8(1),1000,20
16,470,45.15,10,12.5,16,0.053,75.2,ESY477M016AH9(1),1030,20
16,560,37.894,8,20,16,0.049,89.6,ESY567M016AG6(1),1140,20
16,560,37.894,10,16,16,0.046,89.6,ESY567M016AH8(1),1300,20
16,680,31.207,8,20,16,0.041,108.8,ESY687M016AG6(1),1250,20
16,680,31.207,10,16,16,0.038,108.8,ESY687M016AH8(1),1430,20
16,820,25.879,10,20,16,0.032,131.2,ESY827M016AH4(1),1650,20
16,1000,21.221,10,20,16,0.026,160.0,ESY108M016AH4(1),1820,20
16,1200,17.684,10,25,16,0.023,192.0,ESY128M016AH5(1),2150,20
16,1500,14.147,13,20,16,0.021,240.0,ESY158M016AL3(1),2360,20
16,1800,11.789,13,25,16,0.02,288.0,ESY188M016AL4(1),2510,20
16,2200,9.646,13,25,16,0.018,352.0,ESY228M016AL4(1),2770,20
16,2700,7.86,13,30,16,0.016,432.0,ESY278M016AL8(1),3290,20
16,2700,7.86,16,20,16,0.018,432.0,ESY278M016AM5(1),3140,20
16,3300,6.431,13,35,16,0.015,528.0,ESY338M016AL6(1),3400,20
16,3900,5.441,16,25,16,0.016,624.0,ESY398M016AM7(1),3460,20
25,15,1237.873,4,7,14,0.94,3.8,ESY156M025AB2(1),130,32
25,18,1031.561,5,7,14,0.69,4.5,ESY186M025AC2(1),170,32
25,27,687.707,5,7,14,0.46,6.8,ESY276M025AC2(1),210,32
25,33,562.669,5,11,14,0.42,8.3,ESY336M025AC3(1),220,32
25,39,476.105,5,11,14,0.36,9.8,ESY396M025AC3(1),230,32
25,47,395.066,5,11,14,0.3,11.8,ESY476M025AC3(1),250,32
25,56,331.573,6.3,7,14,0.24,14.0,ESY566M025AE2(1),300,32
25,68,273.06,6.3,11,14,0.19,17.0,ESY686M025AE3(1),340,32
25,68,273.06,8,7,14,0.22,17.0,ESY686M025AG1(1),310,32
25,100,185.681,6.3,11,14,0.13,25.0,ESY107M025AE3(1),410,32
25,100,185.681,8,7,14,0.15,25.0,ESY107M025AG1(1),380,32
25,120,154.734,8,11,14,0.12,30.0,ESY127M025AG3(1),560,32
25,150,123.787,8,11,14,0.105,37.5,ESY157M025AG3(1),630,32
25,180,103.156,8,11,14,0.088,45.0,ESY187M025AG3(1),690,32
