VDC,VDC Surge Voltage,Rated Capacitance 120 Hz 20°C (µF),Case Size D x L (mm),DF 120 Hz 20°C (tan δ %)*,RC 100 kHz 105°C (mA),ESR 100 kHz 20°C (Ω),LC 20°C 2 minutes (µA),Part Number
16,20,1500,8 x 30,16,1600,0.032,495.0,ETG158M016AGA(1)
16,20,1800,8 x 35,16,1760,0.028,591.0,ETG188M016AGC(1)
16,20,2200,8 x 40,16,1960,0.027,719.0,ETG228M016AGD(1)
25,32,820,8 x 30,14,1200,0.06,425.0,ETG827M025AGA(1)
25,32,1000,8 x 30,14,1300,0.055,515.0,ETG108M025AGA(1)
25,32,1500,8 x 45,14,1700,0.04,765.0,ETG158M025AGF(1)
25,32,1800,8 x 50,14,2000,0.035,915.0,ETG188M025AGG(1)
25,32,2200,8 x 60,14,2200,0.032,1115.0,ETG228M025AGN(1)
25,32,2200,10 x 40,14,2100,0.032,1115.0,ETG228M025AHB(1)
35,44,680,8 x 30,12,1340,0.045,491.0,ETG687M035AGA(1)
35,44,820,8 x 35,12,1450,0.042,589.0,ETG827M035AGC(1)
35,44,1000,8 x 40,12,1720,0.037,715.0,ETG108M035AGD(1)
35,44,1500,8 x 60,12,2080,0.035,1065.0,ETG158M035AGN(1)
35,44,1500,10 x 40,12,1850,0.035,1065.0,ETG158M035AHB(1)
35,44,1800,10 x 45,12,2010,0.034,1275.0,ETG188M035AHD(1)
50,63,330,8 x 30,10,1110,0.065,345.0,ETG337M050AGA(1)
50,63,470,8 x 40,10,1400,0.06,485.0,ETG477M050AGD(1)
50,63,680,8 x 45,10,1600,0.05,695.0,ETG687M050AGF(1)
50,63,820,8 x 55,10,1820,0.045,835.0,ETG827M050AGL(1)
50,63,820,10 x 40,10,1750,0.04,835.0,ETG827M050AHB(1)
50,63,1000,10 x 45,10,1950,0.039,1015.0,ETG108M050AHD(1)
63,79,220,8 x 30,9,1150,0.06,292.0,ETG227M063AGA(1)
63,79,330,8 x 40,9,1340,0.058,431.0,ETG337M063AGD(1)
63,79,470,8 x 50,9,1700,0.045,607.0,ETG477M063AGG(1)
63,79,680,10 x 45,9,1900,0.042,872.0,ETG687M063AHD(1)
100,125,220,8 x 50,8,1540,0.055,455.0,ETG227M100AGG(1)
100,125,330,10 x 45,8,1730,0.05,675.0,ETG337M100AHD(1)
100,125,470,10 x 60,8,2250,0.038,955.0,ETG477M100AHJ(1)
160,200,56,8 x 35,18,260,,194.0,ETG566M160AGC(1)
160,200,68,8 x 40,18,335,,233.0,ETG686M160AGD(1)
160,200,82,8 x 45,18,390,,277.0,ETG826M160AGF(1)
160,200,100,8 x 50,18,470,,335.0,ETG107M160AGG(1)
160,200,120,10 x 40,18,520,,399.0,ETG127M160AHB(1)
160,200,150,10 x 50,18,650,,495.0,ETG157M160AHE(1)
160,200,180,12.5 x 40,18,745,,591.0,ETG187M160AK4(1)
160,200,220,12.5 x 45,18,830,,719.0,ETG227M160AKA(1)
160,200,270,12.5 x 50,18,960,,879.0,ETG277M160AKB(1)
160,200,330,12.5 x 55,18,1100,,1071.0,ETG337M160AKC(1)
200,250,56,8 x 45,18,285,,239.0,ETG566M200AGF(1)
200,250,68,8 x 50,18,350,,287.0,ETG686M200AGG(1)
200,250,82,10 x 40,18,460,,343.0,ETG826M200AHB(1)
200,250,100,10 x 45,18,470,,415.0,ETG107M200AHD(1)
200,250,120,10 x 50,18,570,,495.0,ETG127M200AHE(1)
200,250,150,12.5 x 45,18,710,,615.0,ETG157M200AKA(1)
200,250,180,12.5 x 50,18,785,,735.0,ETG187M200AKB(1)
200,250,220,12.5 x 55,18,880,,895.0,ETG227M200AKC(1)
200,250,270,12.5 x 60,18,1030,,1095.0,ETG277M200AKD(1)
250,300,27,8 x 32,15,150,,415.0,ETG276M250AGB(1)
250,300,33,8 x 35,15,170,,505.0,ETG336M250AGC(1)
250,300,39,8 x 42,15,200,,595.0,ETG396M250AGE(1)
250,300,47,8 x 45,15,220,,715.0,ETG476M250AGF(1)
250,300,56,10 x 42,15,300,,850.0,ETG566M250AHC(1)
250,300,68,10 x 45,15,330,,1030.0,ETG686M250AHD(1)
250,300,82,10 x 50,15,390,,1240.0,ETG826M250AHE(1)
250,300,100,12.5 x 42,15,440,,1510.0,ETG107M250AK6(1)
250,300,120,12.5 x 45,15,490,,1810.0,ETG127M250AKA(1)
250,300,150,12.5 x 50,15,560,,2260.0,ETG157M250AKB(1)
350,400,15,8 x 35,20,120,,325.0,ETG156M350AGC(1)
350,400,22,8 x 40,20,150,,472.0,ETG226M350AGD(1)
350,400,27,8 x 45,20,170,,577.0,ETG276M350AGF(1)
350,400,33,8 x 50,20,200,,703.0,ETG336M350AGG(1)
350,400,39,10 x 45,20,235,,829.0,ETG396M350AHD(1)
350,400,47,10 x 50,20,270,,997.0,ETG476M350AHE(1)
350,400,56,12.5 x 40,20,300,,1186.0,ETG566M350AK4(1)
350,400,68,12.5 x 45,20,350,,1438.0,ETG686M350AKA(1)
350,400,82,12.5 x 50,20,400,,1732.0,ETG826M350AKB(1)
350,400,100,12.5 x 55,20,460,,2110.0,ETG107M350AKC(1)
400,450,15,8 x 35,24,110,,370.0,ETG156M400AGC(1)
400,450,22,8 x 40,24,140,,538.0,ETG226M400AGD(1)
400,450,27,8 x 45,24,165,,658.0,ETG276M400AGF(1)
400,450,27,10 x 35,24,165,,658.0,ETG276M400AHA(1)
400,450,33,8 x 50,24,190,,802.0,ETG336M400AGG(1)
400,450,33,10 x 40,24,190,,802.0,ETG336M400AHB(1)
400,450,39,10 x 45,24,220,,946.0,ETG396M400AHD(1)
400,450,47,10 x 50,24,255,,1138.0,ETG476M400AHE(1)
400,450,47,12.5 x 40,24,255,,1138.0,ETG476M400AK4(1)
400,450,56,12.5 x 45,24,300,,1354.0,ETG566M400AKA(1)
400,450,68,12.5 x 50,24,350,,1642.0,ETG686M400AKB(1)
400,450,82,12.5 x 55,24,400,,1978.0,ETG826M400AKC(1)
400,450,100,16 x 35,20,705,,825.0,ETG107M400AMP(1)
420,470,15,8 x 35,24,105,,388.0,ETG156M420AGC(1)
420,470,22,8 x 40,24,135,,564.4,ETG226M420AGD(1)
420,470,27,8 x 45,24,155,,690.4,ETG276M420AGF(1)
420,470,27,10 x 35,24,155,,690.4,ETG276M420AHA(1)
420,470,33,8 x 50,24,185,,841.6,ETG336M420AGG(1)
420,470,33,10 x 40,24,185,,841.6,ETG336M420AHB(1)
420,470,39,10 x 45,24,215,,992.8,ETG396M420AHD(1)
420,470,39,12.5 x 35,24,215,,992.8,ETG396M420AK3(1)
420,470,47,10 x 50,24,245,,1194.4,ETG476M420AHE(1)
420,470,47,12.5 x 40,24,245,,1194.4,ETG476M420AK4(1)
