VDC,VDC Surge,Rated Capacitance,Case Size,DF,RC,LC,Part Number
160,200,33,10 x 20,20,250,311.2,ESZ336M160AH4(1)
160,200,47,10 x 20,20,290,400.8,ESZ476M160AH4(1)
160,200,47,12.5 x 20,20,330,400.8,ESZ476M160AK5(1)
160,200,68,13 x 25,20,360,535.2,ESZ686M160AL4(1)
160,200,68,16 x 20,20,380,535.2,ESZ686M160AM5(1)
160,200,100,13 x 25,20,485,740.0,ESZ107M160AL4(1)
160,200,100,16 x 20,20,560,740.0,ESZ107M160AM5(1)
160,200,100,16 x 25,20,560,740.0,ESZ107M160AM7(1)
160,200,100,18 x 20,20,560,740.0,ESZ107M160AN4(1)
160,200,150,16 x 25,20,600,1060.0,ESZ157M160AM7(1)
160,200,150,16 x 32,20,650,1060.0,ESZ157M160AM2(1)
160,200,150,18 x 25,20,650,1060.0,ESZ157M160AN5(1)
160,200,220,16 x 32,20,650,1508.0,ESZ227M160AM2(1)
160,200,220,18 x 25,20,650,1508.0,ESZ227M160AN5(1)
160,200,330,18 x 36,20,690,2212.0,ESZ337M160AN2(1)
200,250,22,10 x 20,20,220,276.0,ESZ226M200AH4(1)
200,250,33,10 x 20,20,260,364.0,ESZ336M200AH4(1)
200,250,33,12.5 x 20,20,290,364.0,ESZ336M200AK5(1)
200,250,47,13 x 20,20,330,476.0,ESZ476M200AL3(1)
200,250,68,13 x 25,20,360,644.0,ESZ686M200AL4(1)
200,250,68,16 x 20,20,380,644.0,ESZ686M200AM5(1)
200,250,100,16 x 25,20,560,900.0,ESZ107M200AM7(1)
200,250,150,16 x 32,20,640,1300.0,ESZ157M200AM2(1)
400,450,6.8,10 x 20,24,75,208.8,ESZ685M400AH4(1)
400,450,10,10 x 20,24,90,260.0,ESZ106M400AH4(1)
400,450,22,16 x 20,24,150,452.0,ESZ226M400AM5(1)
400,450,33,16 x 25,24,260,628.0,ESZ336M400AM7(1)
400,450,47,16 x 32,24,350,852.0,ESZ476M400AM2(1)
400,450,68,18 x 32,24,435,1188.0,ESZ686M400AN1(1)
450,500,3.3,10 x 16,24,50,159.4,ESZ335M450AH8(1)
450,500,4.7,10 x 20,24,70,184.6,ESZ475M450AH4(1)
450,500,6.8,10 x 20,24,75,222.4,ESZ685M450AH4(1)
450,500,6.8,12.5 x 20,24,90,222.4,ESZ685M450AK5(1)
450,500,10,12.5 x 20,24,155,280.0,ESZ106M450AK5(1)
450,500,22,16 x 25,24,280,496.0,ESZ226M450AM7(1)
450,500,22,18 x 20,24,275,496.0,ESZ226M450AN4(1)
450,500,33,16 x 32,24,310,694.0,ESZ336M450AM2(1)
450,500,33,18 x 25,24,295,694.0,ESZ336M450AN5(1)
450,500,47,16 x 36,24,440,946.0,ESZ476M450AM3(1)
450,500,47,18 x 32,24,440,946.0,ESZ476M450AN1(1)
