VDC,VDC Surge,Rated Capacitance,Case Size,DF,Z,RC,ESR 20℃@100kHz,LC,Part Number
6.3,8,150,5 x 11,22,0.720,210,0.72,9.5,EST157M6R3AC3(1)
6.3,8,330,6.3 x 11,22,0.380,340,0.38,20.8,EST337M6R3AE3(1)
6.3,8,680,8 x 11,22,0.200,640,0.2,42.8,EST687M6R3AG3(1)
6.3,8,820,8 x 15,22,0.160,840,0.16,51.7,EST827M6R3AG4(1)
6.3,8,1000,10 x 12,22,0.120,865,0.12,63.0,EST108M6R3AH1(1)
6.3,8,1000,10 x 12.5,22,0.120,865,0.12,63.0,EST108M6R3AH9(1)
6.3,8,1500,8 x 20,22,0.110,1050,0.11,94.5,EST158M6R3AG6(1)
6.3,8,1500,10 x 15,22,0.084,1210,0.084,94.5,EST158M6R3AH2(1)
6.3,8,2200,10 x 20,22,0.062,1400,0.062,138.6,EST228M6R3AH4(1)
6.3,8,2700,10 x 25,22,0.052,1650,0.052,170.1,EST278M6R3AH5(1)
6.3,8,3300,13 x 20,22,0.046,1900,0.046,207.9,EST338M6R3AL3(1)
6.3,8,3900,13 x 25,22,0.034,2230,0.034,245.7,EST398M6R3AL4(1)
6.3,8,4700,13 x 30,22,0.030,2650,0.03,296.1,EST478M6R3AL8(1)
6.3,8,5600,13 x 35,22,0.027,2880,0.027,352.8,EST568M6R3AL6(1)
6.3,8,6800,13 x 40,22,0.024,3350,0.024,428.4,EST688M6R3AL7(1)
6.3,8,6800,16 x 25,22,0.028,2930,0.028,428.4,EST688M6R3AM7(1)
6.3,8,8200,16 x 32,22,0.025,3450,0.025,516.6,EST828M6R3AM2(1)
6.3,8,10000,16 x 36,22,0.018,3610,0.018,630.0,EST109M6R3AM3(1)
6.3,8,12000,18 x 32,22,0.015,4170,0.015,756.0,EST129M6R3AN1(1)
6.3,8,15000,18 x 36,22,0.014,4220,0.014,945.0,EST159M6R3AN2(1)
10,13,100,5 x 11,19,0.720,210,0.72,10.0,EST107M010AC3(1)
10,13,220,6.3 x 11,19,0.380,340,0.38,22.0,EST227M010AE3(1)
10,13,470,8 x 11,19,0.200,640,0.2,47.0,EST477M010AG3(1)
10,13,680,8 x 15,19,0.160,840,0.16,68.0,EST687M010AG4(1)
10,13,1000,10 x 15,19,0.084,1210,0.084,100.0,EST108M010AH2(1)
10,13,1000,18 x 36,19,0.014,4220,0.014,100.0,EST108M010AN2(1)
10,13,1500,10 x 20,19,0.062,1400,0.062,150.0,EST158M010AH4(1)
10,13,2200,10 x 25,19,0.052,1650,0.052,220.0,EST228M010AH5(1)
10,13,2700,13 x 20,19,0.046,1900,0.046,270.0,EST278M010AL3(1)
10,13,3300,13 x 25,19,0.034,2230,0.034,330.0,EST338M010AL4(1)
10,13,3900,13 x 30,19,0.030,2650,0.03,390.0,EST398M010AL8(1)
10,13,4700,13 x 35,19,0.027,2880,0.027,470.0,EST478M010AL6(1)
10,13,5600,13 x 40,19,0.024,3350,0.024,560.0,EST568M010AL7(1)
10,13,5600,16 x 25,19,0.028,2930,0.028,560.0,EST568M010AM7(1)
10,13,6800,16 x 32,19,0.025,3450,0.025,680.0,EST688M010AM2(1)
10,13,8200,16 x 36,19,0.018,3610,0.018,820.0,EST828M010AM3(1)
10,13,10000,18 X 36,19,0.014,4220,0.014,1000.0,EST109M010AN2(1)
16,20,56,5 x 11,16,0.720,210,0.72,9.0,EST566M016AC3(1)
16,20,100,6.3 x 11,16,0.380,340,0.38,16.0,EST107M016AE3(1)
16,20,220,8 x 11,16,0.200,640,0.2,35.2,EST227M016AG3(1)
16,20,330,8 x 15,16,0.160,701,0.16,52.8,EST337M016AG4(1)
16,20,470,8 x 15,16,0.160,840,0.16,75.2,EST477M016AG4(1)
16,20,680,10 x 15,16,0.084,1210,0.084,108.8,EST687M016AH2(1)
16,20,1000,10 x 20,16,0.062,1400,0.062,160.0,EST108M016AH4(1)
16,20,1500,10 x 25,16,0.052,1650,0.052,240.0,EST158M016AH5(1)
16,20,2200,13 x 25,16,0.034,2230,0.034,352.0,EST228M016AL4(1)
16,20,2700,13 x 30,16,0.030,2650,0.03,432.0,EST278M016AL8(1)
16,20,3300,13 x 35,16,0.027,2880,0.027,528.0,EST338M016AL6(1)
16,20,3900,13 x 40,16,0.024,3350,0.024,624.0,EST398M016AL7(1)
16,20,4700,16 x 32,16,0.028,3450,0.028,752.0,EST478M016AM2(1)
16,20,5600,16 x 36,16,0.018,3610,0.018,896.0,EST568M016AM3(1)
16,20,5600,18 x 32,16,0.015,4170,0.015,896.0,EST568M016AN1(1)
16,20,6800,18 x 36,16,0.014,4220,0.014,1088.0,EST688M016AN2(1)
25,32,47,5 x 11,14,0.720,210,0.72,11.8,EST476M025AC3(1)
25,32,100,6.3 x 11,14,0.380,340,0.38,25.0,EST107M025AE3(1)
25,32,150,8 x 11,14,0.200,640,0.2,37.5,EST157M025AG3(1)
25,32,220,8 x 11,14,0.200,640,0.2,55.0,EST227M025AG3(1)
25,32,330,8 x 15,14,0.160,840,0.16,82.5,EST337M025AG4(1)
25,32,470,10 x 15,14,0.084,1210,0.084,117.5,EST477M025AH2(1)
25,32,680,10 x 20,14,0.062,1400,0.062,170.0,EST687M025AH4(1)
25,32,820,10 x 25,14,0.052,1650,0.052,205.0,EST827M025AH5(1)
25,32,1000,13 x 20,14,0.046,1900,0.046,250.0,EST108M025AL3(1)
