Rated Voltage,Surge Voltage,Rated Capacitance,Case Size,DF,RC 105°C@120Hz,LC,Part Number
160,200,22,10 x 20,15,160,222.0,ESG226M160AH4(1)
160,200,33,10 x 20,15,210,327.0,ESG336M160AH4(1)
160,200,47,13 x 20,15,260,461.0,ESG476M160AL3(1)
160,200,68,13 x 25,15,360,663.0,ESG686M160AL4(1)
160,200,68,16 x 20,15,430,663.0,ESG686M160AM5(1)
160,200,100,16 x 25,15,475,970.0,ESG107M160AM7(1)
160,200,100,18 x 20,15,465,970.0,ESG107M160AN4(1)
160,200,150,16 x 32,15,650,1450.0,ESG157M160AM2(1)
160,200,150,18 x 25,15,625,1450.0,ESG157M160AN5(1)
160,200,220,16 x 32,15,750,2122.0,ESG227M160AM2(1)
160,200,220,18 x 25,15,725,2122.0,ESG227M160AN5(1)
160,200,330,18 x 32,15,960,3178.0,ESG337M160AN1(1)
200,250,10,*10 x 16,15,80,274.0,ESG106M200AH8(1)
200,250,15,*10 x 16,15,100,274.0,ESG156M200AH8(1)
200,250,22,10 x 20,15,160,274.0,ESG226M200AH4(1)
200,250,33,*10 x 20,15,160,406.0,ESG336M200AH4(1)
200,250,33,13 x 20,15,210,406.0,ESG336M200AL3(1)
200,250,47,13 x 20,15,260,574.0,ESG476M200AL3(1)
200,250,68,13 x 25,15,360,826.0,ESG686M200AL4(1)
200,250,68,16 x 20,15,430,826.0,ESG686M200AM5(1)
200,250,100,16 x 25,15,475,1210.0,ESG107M200AM7(1)
200,250,100,18 x 20,15,465,1210.0,ESG107M200AN4(1)
200,250,150,18 x 25,15,650,1810.0,ESG157M200AN5(1)
200,250,220,18 x 32,15,780,2650.0,ESG227M200AN1(1)
250,300,10,*10 x 16,15,85,160.0,ESG106M250AH8(1)
250,300,10,*10 x 25,15,145,160.0,ESG106M250AH5(1)
250,300,10,10 x 20,15,100,160.0,ESG106M250AH4(1)
250,300,22,13 x 20,15,160,340.0,ESG226M250AL3(1)
250,300,33,13 x 20,15,210,505.0,ESG336M250AL3(1)
250,300,47,13 x 25,15,270,715.0,ESG476M250AL4(1)
250,300,47,16 x 20,15,275,715.0,ESG476M250AM5(1)
250,300,68,16 x 25,15,380,1030.0,ESG686M250AM7(1)
250,300,68,18 x 20,15,375,1030.0,ESG686M250AN4(1)
250,300,100,16 x 32,15,520,1510.0,ESG107M250AM2(1)
250,300,100,18 x 25,15,500,1510.0,ESG107M250AN5(1)
250,300,150,18 x 32,15,650,2260.0,ESG157M250AN1(1)
250,300,220,18 x 40,15,820,3310.0,ESG227M250AN3(1)
350,400,10,10 x 20,20,100,220.0,ESG106M350AH4(1)
350,400,22,13 x 20,20,160,472.0,ESG226M350AL3(1)
350,400,33,13 x 25,20,230,703.0,ESG336M350AL4(1)
350,400,33,16 x 20,20,250,703.0,ESG336M350AM5(1)
350,400,47,16 x 25,20,300,997.0,ESG476M350AM7(1)
350,400,47,18 x 20,20,315,997.0,ESG476M350AN4(1)
350,400,68,16 x 32,20,400,1438.0,ESG686M350AM2(1)
350,400,68,18 x 25,20,380,1438.0,ESG686M350AN5(1)
350,400,100,18 x 32,20,530,2110.0,ESG107M350AN1(1)
400,450,4.7,*10 x 16,24,60,123.0,ESG475M400AH8(1)
400,450,6.8,*10 x 16,24,72,123.0,ESG685M400AH8(1)
400,450,10,*10 x 16,24,85,123.0,ESG106M400AH8(1)
400,450,10,10 x 20,24,100,250.0,ESG106M400AH4(1)
400,450,22,13 x 20,24,145,538.0,ESG226M400AL3(1)
400,450,22,13 x 25,24,170,538.0,ESG226M400AL4(1)
400,450,22,16 x 20,24,200,538.0,ESG226M400AM5(1)
400,450,33,16 x 25,24,230,802.0,ESG336M400AM7(1)
400,450,33,18 x 20,24,250,802.0,ESG336M400AN4(1)
400,450,47,16 x 25,24,255,1138.0,ESG476M400AM7(1)
400,450,47,16 x 32,24,300,1138.0,ESG476M400AM2(1)
400,450,47,18 x 25,24,325,1138.0,ESG476M400AN5(1)
400,450,68,16 x 30,24,340,1642.0,ESG686M400AM9(1)
400,450,68,16 x 32,24,350,1642.0,ESG686M400AM2(1)
400,450,68,18 x 36,24,420,1642.0,ESG686M400AN2(1)
400,450,100,18 x 32,24,465,2410.0,ESG107M400AN1(1)
400,450,100,18 x 40,24,545,2410.0,ESG107M400AN3(1)
400,450,150,18 x 40,24,525,3610.0,ESG157M400AN3(1)
400,450,150,22 x 40,24,650,3610.0,ESG157M400AQ4(1)
450,500,3.3,10 x 20,24,60,99.0,ESG335M450AH4(1)
450,500,4.7,13 x 20,24,80,137.0,ESG475M450AL3(1)
450,500,6.8,*10 x 20,24,90,194.0,ESG685M450AH4(1)
450,500,10,13 x 20,24,110,280.0,ESG106M450AL3(1)
450,500,10,13 x 25,24,110,280.0,ESG106M450AL4(1)
450,500,22,13 x 20,24,145,604.0,ESG226M450AL3(1)
450,500,22,16 x 25,24,190,604.0,ESG226M450AM7(1)
450,500,22,18 x 20,24,200,604.0,ESG226M450AN4(1)
450,500,33,16 x 25,24,235,901.0,ESG336M450AM7(1)
450,500,33,16 x 32,24,275,901.0,ESG336M450AM2(1)
450,500,33,18 x 25,24,280,901.0,ESG336M450AN5(1)
450,500,47,16 x 26,24,270,1279.0,ESG476M450AM1(1)
450,500,47,18 x 32,24,340,1279.0,ESG476M450AN1(1)
