Rated Voltage,Surge Voltage,Rated Capacitance,Case Size,DF,RC 105°C@100kHz,Z 20°C@100kHz,ESR 25°C@100kHz,LC,Part Number
6.3,8,"100.0",5 x 11,22,166,1.500,1.500,8.0,ESX107M6R3AC3(1)
6.3,8,"100.0",8 x 11,22,180,0.610,0.610,8.0,ESX107M6R3AG3(1)
6.3,8,"120.0",5 x 11,22,175,1.300,1.300,9.6,ESX127M6R3AC3(1)
6.3,8,"120.0",8 x 11,22,200,0.610,0.610,9.6,ESX127M6R3AG3(1)
6.3,8,"150.0",6.3 x 11,22,225,0.920,0.920,12.0,ESX157M6R3AE3(1)
6.3,8,"220.0",8 x 11,22,285,0.610,0.610,17.6,ESX227M6R3AG3(1)
6.3,8,"330.0",8 x 11,22,410,0.400,0.400,26.4,ESX337M6R3AG3(1)
6.3,8,"470.0",10 x 12,22,550,0.280,0.280,37.6,ESX477M6R3AH1(1)
6.3,8,"680.0",10 x 15,22,735,0.220,0.220,54.4,ESX687M6R3AH2(1)
6.3,8,"820.0",10 x 15,22,795,0.190,0.190,65.6,ESX827M6R3AH2(1)
6.3,8,"1,000.0",10 x 20,22,950,0.170,0.170,80.0,ESX108M6R3AH4(1)
6.3,8,"1,200.0",10 x 20,22,1020,0.140,0.140,96.0,ESX128M6R3AH4(1)
6.3,8,"1,500.0",10 x 20,22,1000,0.140,0.140,120.0,ESX158M6R3AH4(1)
6.3,8,"1,500.0",10 x 25,22,1200,0.120,0.120,120.0,ESX158M6R3AH5(1)
6.3,8,"2,200.0",10 x 30,22,1450,0.095,0.095,176.0,ESX228M6R3AH6(1)
6.3,8,"3,300.0",12 x 35,22,1700,0.081,0.081,264.0,ESX338M6R3AJP(1)
6.3,8,"4,700.0",12 x 35,22,2110,0.063,0.063,376.0,ESX478M6R3AJP(1)
6.3,8,"6,800.0",16 x 32,22,2350,0.055,0.055,544.0,ESX688M6R3AM2(1)
6.3,8,"8,200.0",16 x 36,22,2550,0.047,0.047,656.0,ESX828M6R3AM3(1)
6.3,8,"10,000.0",16 x 40,22,2750,0.039,0.039,800.0,ESX109M6R3AM4(1)
6.3,8,"15,000.0",18 x 40,22,2950,0.037,0.037,1200.0,ESX159M6R3AN3(1)
10,13,"10.0",5 x 11,19,20,5.900,5.900,3.0,ESX106M010AC3(1)
10,13,"22.0",5 x 11,19,44,5.400,5.400,3.0,ESX226M010AC3(1)
10,13,"33.0",5 x 11,19,66,3.300,3.300,4.3,ESX336M010AC3(1)
10,13,"47.0",5 x 11,19,94,2.200,2.200,6.1,ESX476M010AC3(1)
10,13,"68.0",5 x 11,19,136,1.300,1.300,8.8,ESX686M010AC3(1)
10,13,"100.0",5 x 11,19,170,1.150,1.150,13.0,ESX107M010AC3(1)
10,13,"100.0",6.3 x 11,19,200,1.150,1.150,13.0,ESX107M010AE3(1)
10,13,"100.0",8 x 7,19,195,1.000,1.000,13.0,ESX107M010AG1(1)
10,13,"120.0",6.3 x 11,19,240,0.910,0.910,15.6,ESX127M010AE3(1)
10,13,"150.0",6.3 x 11,19,265,0.700,0.700,19.5,ESX157M010AE3(1)
10,13,"180.0",6.3 x 11,19,275,0.650,0.650,23.4,ESX187M010AE3(1)
10,13,"220.0",6.3 x 11,19,290,0.590,0.590,28.6,ESX227M010AE3(1)
10,13,"220.0",8 x 11,19,370,0.480,0.480,28.6,ESX227M010AG3(1)
10,13,"330.0",8 x 11,19,470,0.330,0.330,42.9,ESX337M010AG3(1)
10,13,"470.0",10 x 12,19,590,0.24,0.24,61.1,ESX477M010AH1(1)
10,13,"470.0",8 x 11,19,480,0.300,0.300,61.1,ESX477M010AG3(1)
10,13,"680.0",10 x 15,19,750,0.17,0.17,88.4,ESX687M010AH2(1)
10,13,"680.0",8 x 20,19,790,0.180,0.180,88.4,ESX687M010AG6(1)
10,13,"820.0",10 x 20,19,990,0.14,0.14,106.6,ESX827M010AH4(1)
10,13,"1,000.0",10 x 15,19,900,0.135,0.135,130,ESX108M010AH2(1)
10,13,"1,000.0",10 x 20,19,1060,0.12,0.12,130,ESX108M010AH4(1)
10,13,"1,200.0",10 x 25,19,1290,0.12,0.12,156,ESX128M010AH5(1)
10,13,"1,500.0",10 x 30,19,1450,0.093,0.093,195,ESX158M010AH6(1)
10,13,"2,200.0",12 x 30,19,1570,0.087,0.087,286,ESX228M010AJM(1)
10,13,"2,200.0",13 x 20,19,1900,0.073,0.073,286,ESX228M010AL3(1)
10,13,"3,300.0",10 x 30,19,1690,0.077,0.077,429,ESX338M010AH6(1)
10,13,"3,300.0",12 x 35,19,2110,0.062,0.062,429,ESX338M010AJP(1)
10,13,"4,700.0",13 x 40,19,2300,0.057,0.057,611,ESX478M010AL7(1)
10,13,"4,700.0",16 x 32,19,2450,0.054,0.054,611,ESX478M010AM2(1)
10,13,"6,800.0",16 x 36,19,2680,0.046,0.046,884,ESX688M010AM3(1)
10,13,"8,200.0",16 x 40,19,2850,0.038,0.038,1066,ESX828M010AM4(1)
10,13,"10,000.0",16 x 40,19,3050,0.037,0.037,1300,ESX109M010AM4(1)
16,20,"10.0",5 x 11,16,42,1.180,1.180,3.0,ESX106M016AC3(1)
16,20,"22.0",5 x 11,16,53,3.300,3.300,4.4,ESX226M016AC3(1)
16,20,"33.0",5 x 11,16,79,2.100,2.100,6.6,ESX336M016AC3(1)
16,20,"47.0",5 x 11,16,113,1.300,1.300,9.4,ESX476M016AC3(1)
16,20,"68.0",5 x 11,16,145,0.920,0.920,13.6,ESX686M016AC3(1)
16,20,"68.0",6.3 x 11,16,163,0.920,0.920,13.6,ESX686M016AE3(1)
16,20,"100.0",6.3 x 11,16,190,1.100,1.100,20.0,ESX107M016AE3(1)
16,20,"100.0",8 x 11,16,241,0.890,0.890,20.0,ESX107M016AG3(1)
16,20,"120.0",8 x 11,16,290,0.580,0.580,24.0,ESX127M016AG3(1)
16,20,"150.0",8 x 11,16,380,0.470,0.470,30.0,ESX157M016AG3(1)
16,20,"220.0",8 x 11,16,410,0.330,0.330,44.0,ESX227M016AG3(1)
16,20,"330.0",10 x 12,16,600,0.230,0.230,66.0,ESX337M016AH1(1)
16,20,"470.0",10 x 15,16,750,0.180,0.180,94.0,ESX477M016AH2(1)
16,20,"470.0",8 x 20,16,710,0.180,0.180,94.0,ESX477M016AG6(1)
16,20,"560.0",10 x 15,16,890,0.160,0.160,112.0,ESX567M016AH2(1)
16,20,"680.0",10 x 20,16,1050,0.140,0.140,136.0,ESX687M016AH4(1)
16,20,"820.0",10 x 25,16,1220,0.120,0.120,164.0,ESX827M016AH5(1)
16,20,"1,000.0",10 x 30,16,1400,0.091,0.091,200.0,ESX108M016AH6(1)
16,20,"1,200.0",10 x 25,16,1240,0.100,0.100,240.0,ESX128M016AH5(1)
16,20,"1,200.0",12 x 25,16,1450,0.086,0.086,240.0,ESX128M016AJK(1)
16,20,"1,500.0",12 x 25,16,1650,0.072,0.072,300.0,ESX158M016AJK(1)
16,20,"2,200.0",12 x 30,16,1820,0.069,0.069,440.0,ESX228M016AJM(1)
16,20,"2,200.0",13 x 25,16,2000,0.063,0.063,440.0,ESX228M016AL4(1)
16,20,"3,300.0",13 x 40,16,2400,0.055,0.055,660.0,ESX338M016AL7(1)
16,20,"4,700.0",16 x 36,16,2650,0.046,0.046,940.0,ESX478M016AM3(1)
16,20,"6,800.0",18 x 36,16,2900,0.040,0.040,1360.0,ESX688M016AN2(1)
16,20,"8,200.0",18 x 40,16,3050,0.036,0.036,1640.0,ESX828M016AN3(1)
25,32,"22.0",5 x 11,14,66,3.300,3.300,7.0,ESX226M025AC3(1)
25,32,"33.0",5 x 11,14,33,1.300,1.300,10.6,ESX336M025AC3(1)
25,32,"47.0",5 x 11,14,141,1.100,1.100,15.0,ESX476M025AC3(1)
25,32,"68.0",8 x 11,14,204,0.570,0.570,21.8,ESX686M025AG3(1)
25,32,"100.0",6.3 x 11,14,240,0.530,0.530,32.0,ESX107M025AE3(1)
25,32,"100.0",8 x 11,14,300,0.420,0.420,32.0,ESX107M025AG3(1)
25,32,"120.0",8 x 11,14,400,0.380,0.380,38.4,ESX127M025AG3(1)
25,32,"150.0",10 x 12,14,460,0.330,0.330,48.0,ESX157M025AH1(1)
25,32,"220.0",10 x 15,14,630,0.230,0.230,70.4,ESX227M025AH2(1)
25,32,"330.0",10 x 12,14,690,0.220,0.220,105.6,ESX337M025AH1(1)
25,32,"330.0",10 x 15,14,800,0.190,0.190,105.6,ESX337M025AH2(1)
25,32,"470.0",10 x 15,14,590,0.165,0.165,150.4,ESX477M025AH2(1)
25,32,"470.0",10 x 20,14,1050,0.140,0.140,150.4,ESX477M025AH4(1)
25,32,"560.0",10 x 20,14,1170,0.120,0.120,179.2,ESX567M025AH4(1)
25,32,"560.0",12 x 16,14,1200,0.120,0.120,179.2,ESX567M025AJD(1)
25,32,"680.0",10 x 30,14,1400,0.090,0.090,217.6,ESX687M025AH6(1)
25,32,"820.0",12 x 25,14,1450,0.085,0.085,262.4,ESX827M025AJK(1)
