VDC,VDC Surge,Rated Capacitance,Case Size,DF,Z 20°C@100kHz,RC 105°C@100kHz,LC,Part Number
6.3,8,150,5 x 11,22,0.420,200,9.5,ESC157M6R3AC3(1)
6.3,8,220,6.3 x 11,22,0.320,250,13.9,ESC227M6R3AE3(1)
6.3,8,270,6.3 x 11,22,0.220,250,17.0,ESC277M6R3AE3(1)
6.3,8,330,6.3 x 11,22,0.230,250,20.8,ESC337M6R3AE3(1)
6.3,8,330,8 x 11,22,0.180,400,20.8,ESC337M6R3AG3(1)
6.3,8,470,6.3 x 11,22,0.180,440,29.6,ESC477M6R3AE3(1)
6.3,8,470,8 x 11,22,0.140,550,29.6,ESC477M6R3AG3(1)
6.3,8,680,8 x 11,22,0.120,580,42.8,ESC687M6R3AG3(1)
6.3,8,680,8 x 15,22,0.100,700,42.8,ESC687M6R3AG4(1)
6.3,8,820,8 x 20,22,0.085,750,51.7,ESC827M6R3AG6(1)
6.3,8,1000,8 x 11,22,0.150,580,63.0,ESC108M6R3AG3(1)
6.3,8,1000,8 x 15,22,0.085,700,63.0,ESC108M6R3AG4(1)
6.3,8,1000,8 x 20,22,0.069,800,63.0,ESC108M6R3AG6(1)
6.3,8,1000,10 x 12.5,22,0.080,690,63.0,ESC108M6R3AH9(1)
6.3,8,1200,10 x 16,22,0.064,1000,75.6,ESC128M6R3AH8(1)
6.3,8,1500,8 x 15,22,0.085,980,94.5,ESC158M6R3AG4(1)
6.3,8,1500,8 x 20,22,0.051,800,94.5,ESC158M6R3AG6(1)
6.3,8,1500,10 x 16,22,0.055,1070,94.5,ESC158M6R3AH8(1)
6.3,8,1500,10 x 20,22,0.044,1250,94.5,ESC158M6R3AH4(1)
6.3,8,2200,10 x 20,22,0.051,1220,138.6,ESC228M6R3AH4(1)
6.3,8,2200,10 x 25,22,0.048,1310,138.6,ESC228M6R3AH5(1)
6.3,8,2200,13 x 20,22,0.043,1450,138.6,ESC228M6R3AL3(1)
6.3,8,3300,10 x 25,22,0.043,1400,207.9,ESC338M6R3AH5(1)
6.3,8,3300,13 x 25,22,0.035,1700,207.9,ESC338M6R3AL4(1)
6.3,8,3900,13 x 25,22,0.032,1750,245.7,ESC398M6R3AL4(1)
6.3,8,4700,13 x 25,22,0.032,1520,296.1,ESC478M6R3AL4(1)
6.3,8,4700,13 x 30,22,0.033,1570,296.1,ESC478M6R3AL8(1)
6.3,8,4700,16 x 25,22,0.028,1800,296.1,ESC478M6R3AM7(1)
6.3,8,6800,16 x 32,22,0.024,2000,428.4,ESC688M6R3AM2(1)
6.3,8,8200,16 x 32,22,0.019,2350,516.6,ESC828M6R3AM2(1)
6.3,8,10000,16 x 36,22,0.019,2550,630.0,ESC109M6R3AM3(1)
6.3,8,15000,18 x 36,22,0.019,3000,945.0,ESC159M6R3AN2(1)
10,13,100,5 x 11,19,0.420,150,10.0,ESC107M010AC3(1)
10,13,120,5 x 11,19,0.370,200,12.0,ESC127M010AC3(1)
10,13,150,6.3 x 11,19,0.320,250,15.0,ESC157M010AE3(1)
10,13,220,6.3 x 11,19,0.220,300,22.0,ESC227M010AE3(1)
10,13,330,8 x 11,19,0.140,550,33.0,ESC337M010AG3(1)
10,13,470,8 x 11,19,0.120,550,47.0,ESC477M010AG3(1)
10,13,470,8 x 15,19,0.100,750,47.0,ESC477M010AG4(1)
10,13,680,8 x 11,19,0.110,640,68.0,ESC687M010AG3(1)
10,13,680,10 x 12.5,19,0.085,800,68.0,ESC687M010AH9(1)
10,13,820,10 x 16,19,0.064,1050,82.0,ESC827M010AH8(1)
10,13,1000,8 x 20,19,0.065,1080,100.0,ESC108M010AG6(1)
10,13,1000,10 x 12.5,19,0.075,930,100.0,ESC108M010AH9(1)
10,13,1000,10 x 16,19,0.085,990,100.0,ESC108M010AH8(1)
