VDC,VDC Surge Voltage,Rated Capacitance 120 Hz 20°C (µF),Case Size D x L (mm),DF 120 Hz 20°C (tan δ %)*,RC 100 kHz 105°C (mA),ESR 100 kHz 20°C (Ω),LC 20°C 2 Minutes (µA),Part Number
16,20,10.0,5x11,16,150,0.95,3.0,ESL106M016AC3(1)
16,20,15.0,5x11,16,155,0.95,3.0,ESL156M016AC3(1)
16,20,22.0,5x11,16,170,0.36,3.5,ESL226M016AC3(1)
16,20,33.0,5x11,16,185,0.36,5.3,ESL336M016AC3(1)
16,20,39.0,5x11,16,225,0.36,6.2,ESL396M016AC3(1)
16,20,47.0,5x11,16,245,0.23,7.5,ESL476M016AC3(1)
16,20,56.0,5x11,16,280,0.23,9.0,ESL566M016AC3(1)
16,20,68.0,5x11,16,305,0.23,10.9,ESL686M016AC3(1)
16,20,100.0,5x11,16,345,0.23,16.0,ESL107M016AC3(1)
16,20,120.0,6.3x11,16,485,0.098,19.2,ESL127M016AE3(1)
16,20,150.0,6.3x11,16,510,0.098,24.0,ESL157M016AE3(1)
16,20,180.0,6.3x11,16,525,0.098,28.8,ESL187M016AE3(1)
16,20,220.0,6.3x11,16,555,0.098,35.2,ESL227M016AE3(1)
16,20,270.0,8x11.5,16,870,0.061,43.2,ESL277M016AGM(1)
16,20,330.0,8x11.5,16,920,0.061,52.8,ESL337M016AGM(1)
16,20,390.0,8x11.5,16,940,0.061,62.4,ESL397M016AGM(1)
16,20,470.0,8x11.5,16,960,0.061,75.2,ESL477M016AGM(1)
16,20,560.0,10x12.5,16,1340,0.043,89.6,ESL567M016AH9(1)
16,20,560.0,8x16,16,1230,0.049,89.6,ESL567M016AG8(1)
16,20,680.0,10x12.5,16,1340,0.043,108.8,ESL687M016AH9(1)
16,20,680.0,8x16,16,1280,0.049,108.8,ESL687M016AG8(1)
16,20,820.0,10x16,16,1770,0.031,131.2,ESL827M016AH8(1)
16,20,820.0,8x20,16,1540,0.031,131.2,ESL827M016AG6(1)
16,20,1000.0,10x16,16,1770,0.031,160.0,ESL108M016AH8(1)
16,20,1000.0,8x20,16,1540,0.031,160.0,ESL108M016AG6(1)
16,20,1200.0,10x20,16,1970,0.022,192.0,ESL128M016AH4(1)
16,20,1200.0,12.5x15,16,2340,0.02,192.0,ESL128M016AK7(1)
16,20,1500.0,10x20,16,1970,0.022,240.0,ESL158M016AH4(1)
16,20,1500.0,12.5x15,16,2340,0.02,240.0,ESL158M016AK7(1)
16,20,1800.0,10x25,16,2260,0.02,288.0,ESL188M016AH5(1)
16,20,1800.0,12.5x20,16,2490,0.019,288.0,ESL188M016AK5(1)
16,20,2200.0,12.5x20,18,2490,0.019,352.0,ESL228M016AK5(1)
