Rated voltage (V),Capacitance (μF),Case size øD (mm),Case size L (mm),Ripple current (mA rms) 105°C@100kHz,tan δ,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Part No.,Straight leads,Taping
160,22,10.0,20.0,500,0.15,8000,0.6,5.0,5.0,EEUED2C220( ),200,500
160,33,10.0,20.0,580,0.15,8000,0.6,5.0,5.0,EEUED2C330( ),200,500
160,47,10.0,20.0,750,0.15,8000,0.6,5.0,5.0,EEUED2C470( ),200,500
160,68,12.5,20.0,950,0.15,10000,0.6,5.0,5.0,EEUED2C680( ),200,500
160,82,12.5,25.0,1060,0.15,10000,0.6,5.0,5.0,EEUED2C820( ),200,500
160,100,12.5,25.0,1170,0.15,10000,0.6,5.0,5.0,EEUED2C101( ),200,500
160,100,16.0,20.0,1280,0.15,10000,0.8,7.5,7.5,EEUED2C101S( ),100,250
160,150,16.0,25.0,1400,0.15,10000,0.8,7.5,7.5,EEUED2C151( ),100,250
160,150,18.0,20.0,1400,0.15,10000,0.8,7.5,7.5,EEUED2C151S( ),100,250
160,220,16.0,31.5,1700,0.15,10000,0.8,7.5,—,EEUED2C221,100,—
160,220,18.0,25.0,1500,0.15,10000,0.8,7.5,7.5,EEUED2C221S( ),100,250
160,330,18.0,31.5,2000,0.15,10000,0.8,7.5,—,EEUED2C331,50,—
200,22,10.0,20.0,600,0.15,8000,0.6,5.0,5.0,EEUED2D220( ),200,500
200,33,10.0,20.0,650,0.15,8000,0.6,5.0,5.0,EEUED2D330( ),200,500
200,47,12.5,20.0,790,0.15,10000,0.6,5.0,5.0,EEUED2D470( ),200,500
200,68,12.5,25.0,950,0.15,10000,0.6,5.0,5.0,EEUED2D680( ),200,500
200,68,16.0,20.0,1000,0.15,10000,0.8,7.5,7.5,EEUED2D680S( ),100,250
200,82,16.0,20.0,1100,0.15,10000,0.8,7.5,7.5,EEUED2D820S( ),100,250
200,100,16.0,25.0,1300,0.15,10000,0.8,7.5,7.5,EEUED2D101( ),100,250
200,100,18.0,20.0,1280,0.15,10000,0.8,7.5,7.5,EEUED2D101S( ),100,250
200,150,16.0,25.0,1400,0.15,10000,0.8,7.5,7.5,EEUED2D151( ),100,250
200,220,18.0,31.5,2000,0.15,10000,0.8,7.5,—,EEUED2D221,50,—
200,330,18.0,40.0,2400,0.15,10000,0.8,7.5,—,EEUED2D331,50,—
250,22,10.0,20.0,560,0.15,8000,0.6,5.0,5.0,EEUED2E220( ),200,500
250,33,12.5,20.0,710,0.15,10000,0.6,5.0,5.0,EEUED2E330( ),200,500
250,47,12.5,25.0,920,0.15,10000,0.6,5.0,5.0,EEUED2E470( ),200,500
250,47,16.0,20.0,990,0.15,10000,0.8,7.5,7.5,EEUED2E470S( ),100,250
250,68,16.0,20.0,1000,0.15,10000,0.8,7.5,7.5,EEUED2E680S( ),100,250
250,82,16.0,25.0,1200,0.15,10000,0.8,7.5,7.5,EEUED2E820( ),100,250
250,82,18.0,20.0,1200,0.15,10000,0.8,7.5,7.5,EEUED2E820S( ),100,250
250,100,16.0,31.5,1500,0.15,10000,0.8,7.5,—,EEUED2E101,100,—
250,100,18.0,25.0,1500,0.15,10000,0.8,7.5,7.5,EEUED2E101S( ),100,250
250,150,18.0,31.5,1800,0.15,10000,0.8,7.5,—,EEUED2E151,50,—
250,220,18.0,40.0,2100,0.15,10000,0.8,7.5,—,EEUED2E221,50,—
350,10,10.0,20.0,350,0.20,8000,0.6,5.0,5.0,EEUED2V100( ),200,500
350,22,12.5,20.0,480,0.20,10000,0.6,5.0,5.0,EEUED2V220( ),200,500
350,33,16.0,20.0,640,0.20,10000,0.8,7.5,7.5,EEUED2V330S( ),100,250
350,47,16.0,25.0,800,0.20,10000,0.8,7.5,7.5,EEUED2V470( ),100,250
350,47,18.0,20.0,800,0.20,10000,0.8,7.5,7.5,EEUED2V470S( ),100,250
350,68,16.0,31.5,1100,0.20,10000,0.8,7.5,—,EEUED2V680,100,—
350,68,18.0,25.0,1000,0.20,10000,0.8,7.5,7.5,EEUED2V680S( ),100,250
350,82,18.0,25.0,1100,0.20,10000,0.8,7.5,7.5,EEUED2V820S( ),100,250
350,100,18.0,31.5,1200,0.20,10000,0.8,7.5,—,EEUED2V101,50,—
400,10,10.0,20.0,300,0.24,8000,0.6,5.0,5.0,EEUED2G100( ),200,500
400,15,12.5,20.0,410,0.24,10000,0.6,5.0,5.0,EEUED2G150( ),200,500
400,22,12.5,25.0,500,0.24,10000,0.6,5.0,5.0,EEUED2G220( ),200,500
400,22,16.0,20.0,600,0.24,10000,0.8,7.5,7.5,EEUED2G220S( ),100,250
400,33,16.0,20.0,730,0.24,10000,0.8,7.5,7.5,EEUED2G330S( ),100,250
400,47,16.0,25.0,840,0.24,10000,0.8,7.5,7.5,EEUED2G470( ),100,250
400,47,18.0,20.0,840,0.24,10000,0.8,7.5,7.5,EEUED2G470S( ),100,250
400,68,18.0,31.5,1200,0.24,10000,0.8,7.5,—,EEUED2G680,50,—
400,82,18.0,40.0,1500,0.24,10000,0.8,7.5,—,EEUED2G820,50,—
450,10,12.5,20.0,350,0.24,10000,0.6,5.0,5.0,EEUED2W100( ),200,500
450,15,12.5,25.0,560,0.24,10000,0.6,5.0,5.0,EEUED2W150( ),200,500
450,22,16.0,20.0,680,0.24,10000,0.8,7.5,7.5,EEUED2W220S( ),100,250
450,33,16.0,31.5,850,0.24,10000,0.8,7.5,—,EEUED2W330,100,—
450,33,18.0,25.0,850,0.24,10000,0.8,7.5,7.5,EEUED2W330S( ),100,250
450,47,18.0,31.5,1000,0.24,10000,0.8,7.5,—,EEUED2W470,50,—
450,68,18.0,40.0,1300,0.24,10000,0.8,7.5,—,EEUED2W680,50,—
