Rated voltage (V),Capacitance (μF),øD,L,Ripple current (mA rms) 105°C@100kHz,Impedance (Ω) 20°C@100kHz,Endurance (h),Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
6.3,2.2,4.0,7.0,65.0,2.0,1000.0,0.45,1.5,5.0,2.5,EEUFC0J2R2( ),200.0,2000.0
6.3,3.3,5.0,7.0,120.0,0.95,1000.0,0.45,2.0,5.0,2.5,EEUFC0J3R3( ),200.0,2000.0
6.3,4.7,5.0,11.0,175.0,0.8,1000.0,0.5,2.0,5.0,2.5,EEUFC0J4R7( ),200.0,2000.0
6.3,10.0,5.0,11.0,175.0,0.8,1000.0,0.5,2.0,5.0,2.5,EEUFC0J100L( ),200.0,2000.0
6.3,12.0,5.0,11.0,175.0,0.8,1000.0,0.5,2.0,5.0,2.5,EEUFC0J120( ),200.0,2000.0
6.3,15.0,5.0,11.0,175.0,0.8,1000.0,0.5,2.0,5.0,2.5,EEUFC0J150( ),200.0,2000.0
6.3,18.0,5.0,11.0,175.0,0.8,1000.0,0.5,2.0,5.0,2.5,EEUFC0J180( ),200.0,2000.0
6.3,22.0,5.0,11.0,175.0,0.8,1000.0,0.5,2.0,5.0,2.5,EEUFC0J220( ),200.0,2000.0
6.3,33.0,6.3,11.2,290.0,0.35,1000.0,0.5,2.5,5.0,2.5,EEUFC0J330( ),200.0,2000.0
6.3,39.0,6.3,11.2,290.0,0.35,1000.0,0.5,2.5,5.0,2.5,EEUFC0J390( ),200.0,2000.0
6.3,47.0,6.3,11.2,290.0,0.35,1000.0,0.5,2.5,5.0,2.5,EEUFC0J470( ),200.0,2000.0
6.3,56.0,8.0,11.5,555.0,0.117,2000.0,0.6,3.5,5.0,-,EEUFC0J560( ),200.0,1000.0
6.3,68.0,8.0,11.5,555.0,0.117,2000.0,0.6,3.5,5.0,-,EEUFC0J680( ),200.0,1000.0
6.3,82.0,8.0,11.5,555.0,0.117,2000.0,0.6,3.5,5.0,-,EEUFC0J820( ),200.0,1000.0
6.3,100.0,10.0,12.5,755.0,0.09,3000.0,0.6,5.0,5.0,-,EEUFC0J101( ),200.0,500.0
6.3,120.0,8.0,15.0,730.0,0.085,2000.0,0.6,3.5,5.0,-,EEUFC0J121L( ),200.0,1000.0
6.3,150.0,10.0,12.5,755.0,0.09,3000.0,0.6,5.0,5.0,-,EEUFC0J151( ),200.0,500.0
6.3,180.0,10.0,16.0,1050.0,0.068,3000.0,0.6,5.0,5.0,-,EEUFC0J181( ),200.0,500.0
6.3,220.0,8.0,20.0,995.0,0.065,2000.0,0.6,3.5,5.0,-,EEUFC0J221L( ),200.0,1000.0
6.3,270.0,10.0,16.0,1050,0.068,3000.0,0.6,5.0,5.0,-,EEUFC0J271( ),200.0,500
6.3,330.0,10.0,20.0,1220,0.052,3000.0,0.6,5.0,5.0,-,EEUFC0J331( ),200.0,500
6.3,390.0,12.5,15.0,1205,0.065,5000.0,0.6,5.0,5.0,-,EEUFC0J391S( ),200.0,500
6.3,470.0,10.0,20.0,1220,0.052,3000.0,0.6,5.0,5.0,-,EEUFC0J471( ),200.0,500
6.3,560.0,10.0,25.0,1440,0.045,3000.0,0.6,5.0,5.0,-,EEUFC0J561( ),200.0,500
6.3,680.0,12.5,20.0,1655,0.038,5000.0,0.6,5.0,5.0,-,EEUFC0J681( ),200.0,500
6.3,820.0,16.0,15.0,1690,0.043,5000.0,0.8,7.5,7.5,-,EEUFC0J821S( ),100.0,250
6.3,1000.0,10.0,30.0,1815,0.035,3000.0,0.6,5.0,-,-,EEUFC0J102L,100.0,-
6.3,1200.0,12.5,20.0,1655,0.038,5000.0,0.6,5.0,5.0,-,EEUFC0J122( ),200.0,500
6.3,1500.0,12.5,25.0,1945,0.03,5000.0,0.6,5.0,5.0,-,EEUFC0J152( ),200.0,500
6.3,1800.0,12.5,40.0,2655,0.018,5000.0,0.8,5.0,-,-,EEUFC0J182L,100.0,-
6.3,2200.0,16.0,25.0,2555,0.022,5000.0,0.8,7.5,7.5,-,EEUFC0J222( ),100.0,250
6.3,2700.0,16.0,31.5,3010,0.018,5000.0,0.8,7.5,-,-,EEUFC0J272L,100.0,-
6.3,3300.0,18.0,35.5,3680,0.015,5000.0,0.8,7.5,-,-,EEUFC0J332,50.0,-
6.3,3900.0,18.0,40.0,3735,0.014,5000.0,0.8,7.5,-,-,EEUFC0J392,50.0,-
10.0,2.2,5.0,11.0,45,1.8,1000.0,0.5,2.0,5.0,2.5,EEUFC1A2R2( ),200.0,2000
10.0,3.3,5.0,11.0,65,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1A3R3( ),200.0,2000
10.0,4.7,5.0,11.0,95,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1A4R7( ),200.0,2000
10.0,10.0,5.0,11.0,125,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1A100L( ),200.0,2000
10.0,12.0,5.0,11.0,135,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1A120( ),200.0,2000
10.0,15.0,5.0,11.0,145,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1A150( ),200.0,2000
10.0,18.0,5.0,11.0,155,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1A180( ),200.0,2000
10.0,22.0,5.0,11.0,155,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1A220( ),200.0,2000
10.0,33.0,6.3,11.2,260,0.6,1000.0,0.5,2.5,5.0,2.5,EEUFC1A330( ),200.0,2000
10.0,39.0,6.3,11.2,260,0.6,1000.0,0.5,2.5,5.0,2.5,EEUFC1A390( ),200.0,2000
10.0,47.0,6.3,11.2,260,0.6,1000.0,0.5,2.5,5.0,2.5,EEUFC1A470( ),200.0,2000
10.0,68.0,8.0,11.5,485,0.234,2000.0,0.6,3.5,5.0,-,EEUFC1A680( ),200.0,1000
10.0,82.0,8.0,11.5,485,0.234,2000.0,0.6,3.5,5.0,-,EEUFC1A820( ),200.0,1000
