WV (V.DC),Cap(µF),Size,"Ripple Current (mA r.m.s./85°C, 120Hz)"
50.0,0.1,5×11,1.1
50.0,0.15,5×11,1.5
50.0,0.22,5×11,2.5
50.0,0.33,5×11,4.0
50.0,0.47,5×11,7.0
50.0,1.0,5×11,13.0
50.0,2.2,5×11,23.0
50.0,3.3,5×11,35.0
50.0,4.7,5×11,41.0
50.0,10.0,5×11,60.0
50.0,22.0,5×11,95.0
50.0,33.0,5×11,130.0
50.0,47.0,5×11,135.0
50.0,100.0,6.3×11,215.0
50.0,220.0,8×11.5,370.0
50.0,330.0,10×12.5,500.0
50.0,470.0,10×16,680.0
50.0,1000.0,10×20,970.0
50.0,2200.0,12.5×20,1180.0
50.0,3300.0,16×25,2000.0
50.0,4700.0,16×31.5,2440.0
50.0,6800.0,18×35.5,2900.0
63.0,10.0,5×11,70.0
63.0,22.0,5×11,110.0
63.0,33.0,6.3×11,140.0
63.0,47.0,6.3×11,190.0
63.0,100.0,8×11.5,270.0
63.0,220.0,10×12.5,435.0
63.0,330.0,10×16,590.0
63.0,470.0,10×20,760.0
63.0,1000.0,12.5×25,1350.0
63.0,2200.0,16×35.5,2110.0
63.0,3300.0,18×35.5,2540.0
63.0,4700.0,18×35.5,2740.0
100.0,0.47,5×11,8.0
100.0,1.0,5×11,16.0
100.0,2.2,5×11,35.0
100.0,3.3,5×11,45.0
100.0,4.7,5×11,50.0
100.0,10.0,5×11,75.0
100.0,22.0,6.3×11,135.0
100.0,33.0,8×11.5,185.0
100.0,47.0,10×12.5,235.0
100.0,100.0,10×20,380.0
100.0,220.0,12.5×25,629.0
100.0,330.0,12.5×25,760.0
100.0,470.0,16×25,950.0
100.0,1000.0,18×40,1350.0
160.0,4.7,6.3×11,45.0
160.0,10.0,8×11.5,83.0
160.0,22.0,10×16,133.0
160.0,33.0,10×20,180.0
160.0,47.0,12.5×20,230.0
160.0,100.0,12.5×25,385.0
160.0,220.0,16×35.5,645.0
160.0,330.0,18×35.5,760.0
200.0,3.3,6.3×11,36.0
200.0,4.7,8×11.5,51.0
200.0,10.0,10×12.5,85.0
200.0,22.0,10×20,135.0
200.0,33.0,12.5×20,205.0
200.0,47.0,12.5×20,230.0
200.0,100.0,16×25,400.0
200.0,220.0,18×35.5,680.0
250.0,0.47,6.3×11,8.0
250.0,1.0,6.3×11,16.0
250.0,2.2,6.3×11,30.0
250.0,3.3,8×11.5,45.0
250.0,4.7,8×11.5,54.0
250.0,10.0,10×16,90.0
250.0,22.0,12.5×20,150.0
250.0,33.0,12.5×20,205.0
250.0,47.0,12.5×25,260.0
250.0,100.0,16×31.5,450.0
350.0,0.47,6.3×11,8.0
350.0,1.0,6.3×11,16.0
350.0,2.2,8×11.5,31.0
350.0,3.3,10×12.5,45.0
350.0,4.7,10×12.5,56.0
350.0,10.0,10×20,100.0
350.0,22.0,12.5×25,185.0
350.0,33.0,16×25,230.0
350.0,47.0,16×31.5,280.0
350.0,100.0,18×40,420.0
400.0,0.47,6.3×11,8.0
400.0,1.0,6.3×11,16.0
400.0,2.2,10×12.5,31.0
400.0,3.3,10×12.5,43.0
400.0,4.7,10×16,56.0
400.0,10.0,12.5×20,90.0
400.0,22.0,12.5×25,180.0
400.0,33.0,16×25,230.0
400.0,47.0,16×31.5,280.0
400.0,100.0,18×40,420.0
450.0,0.47,8×11.5,8.0
450.0,1.0,8×11.5,16.0
450.0,2.2,10×12.5,29.0
450.0,3.3,10×16,40.0
450.0,4.7,10×20,56.0
450.0,10.0,12.5×20,84.0
450.0,22.0,16×25,140.0
450.0,33.0,16×31.5,180.0
450.0,47.0,16×35.5,220.0
6.3,100.0,5×11,135.0
6.3,220.0,5×11,220.0
6.3,330.0,6.3×11,280.0
6.3,470.0,6.3×11,360.0
6.3,1000.0,8×11.5,590.0
6.3,2200.0,10×16,920.0
6.3,3300.0,10×20,1200.0
6.3,4700.0,12.5×20,1550.0
6.3,6800.0,12.5×25,1920.0
6.3,10000.0,16×25,2370.0
6.3,15000.0,16×35.5,2880.0
6.3,22000.0,18×40,3350.0
10.0,100.0,5×11,140.0
10.0,220.0,5×11,230.0
10.0,330.0,6.3×11,310.0
10.0,470.0,6.3×11,400.0
10.0,1000.0,10×12.5,660.0
10.0,2200.0,10×20,1090.0
10.0,3300.0,12.5×20,1440.0
10.0,4700.0,12.5×25,1800.0
10.0,6800.0,16×25,2250.0
10.0,10000.0,16×35.5,2710.0
10.0,15000.0,18×35.5,3110.0
16.0,47.0,5×11,115.0
16.0,100.0,5×11,175.0
16.0,220.0,6.3×11,280.0
16.0,330.0,8×11.5,380.0
16.0,470.0,8×11.5,460.0
16.0,1000.0,10×16,800.0
16.0,2200.0,12.5×20,1320.0
16.0,3300.0,12.5×25,1670.0
16.0,4700.0,16×25,2120.0
16.0,6800.0,16×31.5,2540.0
16.0,10000.0,18×35.5,2950.0
25.0,33.0,5×11,98.0
25.0,47.0,5×11,120.0
25.0,100.0,5×11,185.0
25.0,220.0,6.3×11,310.0
25.0,330.0,8×11.5,410.0
25.0,470.0,10×12.5,550.0
25.0,1000.0,10×20,970.0
25.0,2200.0,12.5×25,1570.0
25.0,3300.0,16×25,2000.0
25.0,4700.0,16×31.5,2440.0
25.0,6800.0,18×35.5,2900.0
35.0,33.0,5×11,110.0
35.0,47.0,5×11,135.0
35.0,100.0,6.3×11,215.0
35.0,220.0,8×11.5,370.0
35.0,330.0,10×12.5,500.0
35.0,470.0,10×16,680.0
35.0,1000.0,12.5×20,1180.0
35.0,2200.0,16×25,1810.0
35.0,3300.0,16×35.5,2300.0
35.0,4700.0,18×35.5,2740.0
