WV (V.DC),Cap(µF),Size,"Ripple Current (mA r.m.s./105°C, 120Hz)"
6.3,100.0,5×11,96.0
6.3,220.0,5×11,160.0
6.3,330.0,6.3×11,210.0
6.3,470.0,6.3×11,275.0
6.3,1000.0,8×11.5,460.0
6.3,2200.0,10×20,775.0
6.3,3300.0,10×20,985.0
6.3,4700.0,12.5×20,1150.0
6.3,6800.0,12.5×25,1480.0
6.3,10000.0,16×25,1700.0
6.3,15000.0,16×35.5,2090.0
6.3,22000.0,18×40,2350.0
10.0,100.0,5×11,105.0
10.0,220.0,6.3×11,175.0
10.0,330.0,6.3×11,235.0
10.0,470.0,8×11.5,295.0
10.0,1000.0,10×12.5,540.0
10.0,2200.0,10×20,860.0
10.0,3300.0,12.5×20,1100.0
10.0,4700.0,12.5×25,1350.0
10.0,6800.0,16×25,1700.0
10.0,10000.0,16×35.5,1950.0
10.0,15000.0,18×35.5,2180.0
16.0,100.0,5×11,130.0
16.0,220.0,6.3×11,220.0
16.0,330.0,8×11.5,270.0
16.0,470.0,8×11.5,375.0
16.0,1000.0,10×16,640.0
16.0,2200.0,12.5×20,1050.0
16.0,3300.0,12.5×25,1300.0
16.0,4700.0,16×25,1650.0
16.0,6800.0,16×31.5,1900.0
16.0,10000.0,18×35.5,2070.0
25.0,33.0,5×11,69.0
25.0,47.0,5×11,80.0
25.0,100.0,6.3×11,140.0
25.0,220.0,8×11.5,240.0
25.0,330.0,10×12.5,335.0
25.0,470.0,10×12.5,440.0
25.0,1000.0,10×20,740.0
25.0,2200.0,12.5×25,1230.0
25.0,3300.0,16×25,1500.0
25.0,4700.0,16×31.5,1800.0
25.0,6800.0,18×35.5,2050.0
35.0,33.0,5×11,77.0
35.0,47.0,5×11,84.0
35.0,100.0,6.3×11,170.0
35.0,220.0,10×12.5,300.0
35.0,330.0,10×12.5,400.0
35.0,470.0,10×16,525.0
35.0,1000.0,12.5×20,865.0
35.0,2200.0,16×25,1370.0
35.0,3300.0,16×35.5,1680.0
35.0,4700.0,18×35.5,1920.0
50.0,0.1,5×11,1.0
50.0,0.15,5×11,1.5
50.0,0.22,5×11,2.5
50.0,0.33,5×11,4.0
50.0,0.47,5×11,7.0
50.0,1.0,5×11,13.0
50.0,2.2,5×11,20.0
50.0,3.3,5×11,25.0
50.0,4.7,5×11,32.0
50.0,10.0,5×11,47.0
50.0,22.0,5×11,70.0
50.0,33.0,5×11,94.0
50.0,47.0,6.3×11,115.0
50.0,100.0,8×11.5,200.0
50.0,220.0,10×12.5,300.0
50.0,330.0,10×12.5,400.0
50.0,470.0,10×20,600.0
50.0,1000.0,12.5×25,1060.0
50.0,2200.0,16×35.5,1600.0
63.0,10.0,5×11,48.0
63.0,22.0,5×11,80.0
63.0,33.0,6.3×11,100.0
63.0,47.0,6.3×11,140.0
63.0,100.0,10×12.5,230.0
63.0,220.0,10×16,390.0
63.0,330.0,10×20,540.0
63.0,470.0,12.5×20,700.0
63.0,1000.0,16×25,1200.0
63.0,2200.0,18×35.5,1650.0
63.0,3300.0,18×35.5,1780.0
100.0,0.47,5×11,8.0
100.0,1.0,5×11,15.0
100.0,2.2,5×11,21.0
100.0,3.3,5×11,30.0
100.0,4.7,5×11,35.0
100.0,10.0,5×11,60.0
100.0,22.0,6.3×11,98.0
100.0,33.0,8×11.5,140.0
100.0,47.0,10×12.5,185.0
100.0,100.0,10×20,290.0
100.0,220.0,12.5×25,560.0
100.0,330.0,12.5×25,690.0
100.0,470.0,16×25,880.0
100.0,1000.0,18×40,985.0
160.0,4.7,6.3×11,43.0
160.0,10.0,8×11.5,77.0
160.0,22.0,10×16,125.0
160.0,33.0,10×20,170.0
160.0,47.0,12.5×20,210.0
160.0,100.0,12.5×25,320.0
160.0,220.0,16×35.5,580.0
160.0,330.0,18×35.5,700.0
200.0,3.3,6.3×11,36.0
200.0,4.7,8×11.5,50.0
200.0,10.0,10×12.5,80.0
200.0,22.0,10×20,135.0
200.0,33.0,12.5×20,200.0
200.0,47.0,12.5×20,220.0
200.0,100.0,16×25,340.0
200.0,220.0,18×35.5,580.0
250.0,0.47,6.3×11,8.0
250.0,1.0,6.3×11,16.0
250.0,2.2,6.3×11,30.0
250.0,3.3,8×11.5,43.0
250.0,4.7,8×11.5,53.0
250.0,10.0,10×16,90.0
250.0,22.0,12.5×20,150.0
250.0,33.0,12.5×20,200.0
250.0,47.0,12.5×25,240.0
250.0,100.0,16×31.5,400.0
350.0,0.47,6.3×11,8.0
350.0,1.0,6.3×11,16.0
350.0,2.2,8×11.5,31.0
350.0,3.3,10×12.5,45.0
350.0,4.7,10×12.5,55.0
350.0,10.0,10×20,95.0
350.0,22.0,12.5×25,175.0
350.0,33.0,16×25,220.0
350.0,47.0,16×31.5,260.0
350.0,100.0,18×40,415.0
400.0,1.0,6.3×11,16.0
400.0,2.2,10×12.5,31.0
400.0,3.3,10×12.5,41.0
400.0,4.7,10×16,55.0
400.0,10.0,12.5×20,85.0
400.0,22.0,12.5×25,170.0
400.0,33.0,16×25,220.0
400.0,47.0,16×31.5,275.0
400.0,100.0,18×40,415.0
450.0,1.0,8×11.5,15.0
450.0,2.2,10×12.5,25.0
450.0,3.3,10×16,33.0
450.0,4.7,10×20,42.0
450.0,10.0,12.5×20,67.0
450.0,22.0,16×25,115.0
450.0,33.0,16×31.5,155.0
450.0,47.0,16×35.5,185.0
